EvidenceID,Decision,Category,Claim,SourceArtifact,SourceLocation,Label,Status
C6EV-11,C6,SECURITY DEFINER callers,"Repo callers: users.repository.ts line ~120 calls security.fn_register_user (comment cites backend/seed/33-fix-register-rls.sql); auth.repository.ts line 11 calls security.fn_authenticate; consent-review.repository.ts line 45 calls system.fn_is_admin.","backend/src/repositories/users.repository.ts; backend/src/repositories/auth.repository.ts; backend/src/repositories/consent-review.repository.ts","lines 102-129 / 11 / 45","REPOSITORY FACT",VERIFIED
C6EV-12,C6,GD-2 gate binding,"GD-2: 'No gate on a breach: a rule in Violated or Suspended may not bind a gate (state-machine section 4.2).' State-machine rule 2: Violated/Suspended rule may not bind a Gate (D5). I11 is Violated today; an exception moves it to Suspended (transition 10) - still un-bindable.","backend/src/governance/relationships/gate-dependency.ts; docs/constitutional-state-machine.md","GD-2 (line 17); rule 2 (line 100); transition 10 (line 42)","CONSTITUTIONAL REQUIREMENT",VERIFIED
C6EV-13,C6,Ready ne auth,"I11 rated Ready in R4/READY_OUTSIDE_INITIAL_SET with basis 'Bypass detection: SECURITY DEFINER functions and disabled RLS observable in the accepted baseline.' Readiness is specifiability, not authorization to bind a gate.","backend/src/governance/registries/verification.registry.ts; docs/constitutional-enforcement-architecture.md","READY_OUTSIDE_INITIAL_SET (line 37); section 6.1","REPOSITORY FACT",VERIFIED
C6EV-14,C6,C6 condition text,"DECISION-P3-001 condition C6: 'Commit to a dated governance plan to record the I11 exception (R9) and resolve the P3-I11 conflict before binding any gate that gates the I11 verification (GD-2).' Severity High (OBS-1).","docs/architecture/registry/phase3-review-decision.md","Section 3 C6 row (line 36)","CONSTITUTIONAL REQUIREMENT",VERIFIED
C6EV-15,C6,No ADR-003+ or dated commitment,"ADR-INDEX formal series lists only ADR-001 and ADR-002; ADR-003+ reserved. PQ-2 OPEN. No dated ADR-board commitment found by grep across the repository.","docs/architecture/adr/ADR-INDEX.md; repository grep","Section 1 table (line 13); Section 3 PQ-2 (line 51)","REPOSITORY FACT",VERIFIED
PQ1EV-01,PQ-1,Candidate A stated,"object-model section 2.3: 'Traceability | traverses | Relationship | Decision -> Evidence -> Constraint -> Rule (T3; EC8).' Enforcement-architecture section 2/3: 'The backward chain decision -> evidence -> constraint -> rule.'","docs/constitutional-object-model.md; docs/constitutional-enforcement-architecture.md","Section 2.3 (line 107); section 2 (line 76)","CONSTITUTIONAL REQUIREMENT",VERIFIED
PQ1EV-02,PQ-1,Candidate B implied,"object-model section 4 states the forward enforcement chain Rule -> Constraint -> Evidence -> Verification -> Gate -> Decision; read backward it implies Decision -> Gate -> Verification -> Evidence -> Constraint -> Rule. Section 2.2 map: Verification produces Decision; Gate produces Decision.","docs/constitutional-object-model.md","Section 4 (lines 129-135); section 2.2 rows (lines 92-98)","CONSTITUTIONAL REQUIREMENT",VERIFIED
PQ1EV-03,PQ-1,Phase-3 recorded chain,"TRACEABILITY_CHAIN in traceability-graph.ts = ['Decision','Evidence','Constraint','Rule'] (Candidate A), anchored R6->R3->R2->R1; status records that EC8 remains scaffold-only until the engine audits recorded provenance.","backend/src/governance/relationships/traceability-graph.ts","TRACEABILITY_CHAIN (lines 26-31); status (line 47-48)","REPOSITORY FACT",VERIFIED
PQ1EV-04,PQ-1,Enforcement chain with direction contract,"ENFORCEMENT_CHAIN = Rule->Constraint->Evidence->Verification->Gate->Decision; DEPENDENCY_EDGE_DIRECTIONS: constrained-by forward, examines forward, evaluates backward, requires backward, produces forward.","backend/src/governance/relationships/dependency-graph.ts","ENFORCEMENT_CHAIN (lines 26-33); DEPENDENCY_EDGE_DIRECTIONS (lines 59-65)","REPOSITORY FACT",VERIFIED
PQ1EV-05,PQ-1,Edge vocabulary in range,"Candidate A edges records/examines/constrained-by all within the 27-kind vocabulary and TRACEABILITY_MODEL.composedOf. Candidate B additionally requires produces, requires, evaluates - all within RELATIONSHIP_KINDS ranges and matching DEPENDENCY_EDGE_DIRECTIONS.","backend/src/governance/relationships/types.ts; relationship-kinds.ts; traceability-graph.ts","RELATIONSHIP_KINDS; TRACEABILITY_MODEL.composedOf (line 45)","REPOSITORY FACT",VERIFIED
PQ1EV-06,PQ-1,tracesTo meaning,"decision.specification tracesTo: 'The backward traceability chain decision -> evidence -> constraint -> rule (T3 / EC8).' Unchanged if Candidate A; requires update if Candidate B.","backend/src/governance/specifications/decision.specification.ts","tracesTo field (line 25)","REPOSITORY FACT",VERIFIED
PQ1EV-07,PQ-1,LOW-2 / PQ-1 open,"Phase-3 review C5: surface the T3-chain ambiguity (LOW-2) to the ADR board and record the EC8 audit chain. ADR-INDEX PQ-1 OPEN: 'Which traceability chain is authoritative for EC8...'. Closure report: LOW-2/PQ-1 OPEN at constitutional level.","docs/architecture/registry/phase3-review-decision.md; ADR-INDEX.md; phase3-conditions-closure-report.md","C5 (line 35); PQ-1 (line 50); closure report section 1 C5 / section 5 (lines 72-73, 102)","CONSTITUTIONAL REQUIREMENT",VERIFIED
PQ1EV-08,PQ-1,EC8 two referents,"Exit-criterion EC8 (transition plan section 9 line 327): 'All 6 traceability chains re-verified with 0 broken' - document-level chains from baseline-consolidation-review section 5 (5 of 6 broken). Object-level EC8 audit chain (object-model section 2.3) - the Phase-3 meaning.","docs/architecture-transition-plan.md; docs/architecture-baseline-consolidation-review.md; docs/architecture-enforcement-model.md","transition plan line 327; consolidation review section 5; AEM G3/EC8 rows (lines 83, 106)","CONSTITUTIONAL REQUIREMENT",VERIFIED
PQ1EV-09,PQ-1,Selection constraint,"DECISION-P3-002 section 2: 'The engine audit must not be built before selection.' DECISION-P3-001 section 4.2: no Phase 4 work until C1-C5 closed and C6 committed; a later architectural review must confirm closure.","docs/architecture/registry/phase3-independent-review-decision.md; phase3-review-decision.md","section 2 (line 33); section 4.2 (line 43)","CONSTITUTIONAL REQUIREMENT",VERIFIED
GOVEV-01,Both,Phase 4 prohibition,"DECISION-P3-001 section 4.2: 'No Phase 4 work may begin - no enforcement engine, no constraint/verification/gate authoring, no predicate writing, no runtime wiring - until C1-C5 are closed and C6 is committed.'","docs/architecture/registry/phase3-review-decision.md","section 4.2 (line 43)","CONSTITUTIONAL REQUIREMENT",VERIFIED
GOVEV-02,Both,Binding template,"ADR template at docs/templates/adr-template.md is binding for every formal ADR (ADR-001 section 2.2); ADR-003+ numbers never reused (ADR-001 section 2.1); every ADR must be registered in ADR-INDEX.","docs/templates/adr-template.md; docs/architecture/adr/ADR-001-series-foundation.md","adr-template.md (all); ADR-001 section 2.1-2.3","CONSTITUTIONAL REQUIREMENT",VERIFIED
GOVEV-03,Both,Exception must reference ADR,"object-model section 2.2: 'Decision may grant Exception'; 'Exception suspends Rule'; section 3 rule 6: an Exception not recorded in the Exception Registry is a violation regardless of intent. SPEC-EXCEPTION: authority required; exceptions explicit, bounded, expiring - never silent.","docs/constitutional-object-model.md; backend/src/governance/specifications/exception.specification.ts","object-model section 2.2 / 3.6; SPEC-EXCEPTION shape","CONSTITUTIONAL REQUIREMENT",VERIFIED
GOVEV-04,Both,Precedence rule authority,"closure-decision section 4 precedence rule: ADR-002 > ADR-001 > registered ADRs. AEM section 5 failure 1: P3 vs I11 conflict = Missing governance (no reconciliation authority) + Missing rule (no precedence rule).","docs/architecture-closure-decision.md; docs/architecture-enforcement-model.md","section 4 (line 104); AEM section 5 (lines 225-226)","CONSTITUTIONAL REQUIREMENT",VERIFIED
