"Schema","Table","RowCount","PopulationStatus","BusinessModule","BusinessCritical","Seeded","Notes","PK","FKs","ReferencedBy"
"committee","review_assignments","286","Well Populated","Reviews","Yes","Known","","True","2","0"
"committee","review_comments","3","Minimal","Reviews","No","Known","","True","1","0"
"committee","review_conflicts","0","Empty","Reviews","No","Known","Should contain seed data - empty (see report §11.1)","True","1","0"
"committee","review_forms","18","Partial","Reviews","Yes","Known","","True","0","1"
"committee","review_questions","54","Partial","Reviews","Yes","Known","","True","1","1"
"committee","review_recommendations","3","Minimal","Reviews","No","Known","","True","1","0"
"committee","review_scores","0","Empty","Reviews","No","Known","Should contain seed data - empty (see report §11.1)","True","1","0"
"committee","scientific_reviews","73","Partial","Committee","Yes","Known","","True","2","1"
"committee","votes","2","Minimal","Meetings","No","Known","","True","2","0"
"committee","voting_sessions","1","Minimal","Meetings","No","Known","","True","2","1"
"communication","announcements","0","Empty","Announcements","No","Known","Expected empty (see report §11.2)","True","1","0"
"communication","message_attachments","0","Empty","Messaging","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"communication","message_recipients","36","Partial","Messaging","No","Known","","True","2","0"
"communication","messages","18","Partial","Messaging","Yes","Known","","True","1","2"
"communication","notification_channels","5","Minimal","Notifications","No","Known","","True","0","0"
"communication","notification_logs","12","Partial","Notifications","Yes","Known","","True","1","0"
"communication","notification_templates","8","Minimal","Notifications","No","Known","","True","0","0"
"communication","notifications","84","Partial","Notifications","Yes","Known","","True","1","1"
"communication","user_notification_preferences","0","Empty","Communication","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"core","amendment_requests","0","Empty","Applications","No","Known","Should contain seed data - empty (see report §11.1)","True","1","0"
"core","application_amendments","7","Minimal","Applications","Yes","Known","","True","1","1"
"core","application_checklists","0","Empty","Applications","No","Unknown","Should contain seed data - empty (see report §11.1)","True","1","0"
"core","application_consents","0","Empty","Applications","No","Known","Should contain seed data - empty (see report §11.1)","True","3","1"
"core","application_history","459","Well Populated","Applications","Yes","Known","","True","1","0"
"core","application_sections","0","Empty","Applications","No","Unknown","Should contain seed data - empty (see report §11.1)","True","1","0"
"core","application_validations","0","Empty","Applications","No","Unknown","Should contain seed data - empty (see report §11.1)","True","1","0"
"core","application_versions","34","Partial","Applications","Yes","Unknown","","True","1","0"
"core","applications","112","Well Populated","Applications","Yes","Known","","True","3","30"
"core","closure_requests","0","Empty","Applications","No","Known","Should contain seed data - empty (see report §11.1)","True","1","0"
"core","project_attachments","0","Empty","Projects","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"core","project_funding_sources","93","Partial","Projects","Yes","Known","","True","1","0"
"core","project_keywords","372","Well Populated","Projects","Yes","Known","","True","1","0"
"core","project_site_investigators","0","Empty","Projects","No","Known","Expected empty (see report §11.2)","True","2","0"
"core","project_sites","93","Partial","Projects","Yes","Known","","True","1","1"
"core","project_status_history","93","Partial","Projects","Yes","Known","","True","1","0"
"core","project_tags","0","Empty","Projects","No","Known","Expected empty (see report §11.2)","True","1","0"
"core","project_team_members","141","Well Populated","Projects","Yes","Known","","True","2","0"
"core","project_versions","0","Empty","Projects","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"core","projects","121","Well Populated","Projects","Yes","Known","","True","2","10"
"core","renewal_requests","0","Empty","Applications","No","Known","Should contain seed data - empty (see report §11.1)","True","1","0"
"core","research_categories","8","Minimal","Projects","No","Unknown","","True","0","0"
"core","research_population_links","0","Empty","Research Metadata","No","Unknown","Expected empty (see report §11.2)","True","2","0"
"core","risk_classifications","4","Minimal","Research Metadata","No","Unknown","","True","0","0"
"core","vulnerable_populations","6","Minimal","Research Metadata","No","Unknown","","True","0","1"
"documents","approval_certificate_documents","0","Empty","Certificates","No","Unknown","Expected empty (see report §11.2)","True","2","0"
"documents","approval_certificates","57","Partial","Certificates","Yes","Known","","True","6","2"
"documents","certificate_verification_log","0","Empty","Documents","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"documents","document_access","3956","Well Populated","Documents","No","Known","","True","3","0"
"documents","document_approvals","0","Empty","Documents","No","Known","Should contain seed data - empty (see report §11.1)","True","2","0"
"documents","document_audit","12","Partial","Documents","No","Known","","True","1","0"
"documents","document_classifications","4","Minimal","Documents","No","Unknown","","True","0","1"
"documents","document_disposal_logs","0","Empty","Documents","No","Unknown","Expected empty (see report §11.2)","True","2","0"
"documents","document_lifecycle_states","10","Partial","Documents","No","Known","","True","0","3"
"documents","document_lifecycle_transitions","14","Partial","Documents","No","Known","","True","2","0"
"documents","document_numbering","8","Minimal","Documents","No","Known","","True","0","0"
"documents","document_retention_rules","27","Partial","Documents","No","Known","","True","1","1"
"documents","document_signature_types","9","Minimal","Documents","No","Known","","True","0","1"
"documents","document_signatures","2","Minimal","Documents","No","Unknown","","True","3","0"
"documents","document_types","28","Partial","Documents","Yes","Known","","True","0","2"
"documents","document_verification_log","1","Minimal","Documents","No","Unknown","","True","0","0"
"documents","document_versions","36","Partial","Documents","Yes","Known","","True","3","1"
"documents","document_watermark_config","7","Minimal","Documents","No","Known","","True","0","0"
"documents","documents","1062","Well Populated","Documents","Yes","Known","","True","7","11"
"documents","generated_documents","12","Partial","Templates","No","Known","","True","3","0"
"documents","templates","25","Partial","Documents","No","Known","","True","0","1"
"forms","form_definitions","9","Minimal","Forms","Yes","Known","","True","3","1"
"forms","form_instances","24","Partial","Forms","Yes","Unknown","","True","6","0"
"integration","data_sync_jobs","0","Empty","Integration","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"integration","event_bus_config","0","Empty","Integration","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"integration","event_outbox","30","Partial","Integration","No","Unknown","","True","0","0"
"integration","event_subscriptions","0","Empty","Integration","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"integration","external_systems","0","Empty","Integration","No","Unknown","Expected empty (see report §11.2)","True","0","3"
"integration","integration_credentials","0","Empty","Integration","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"integration","integration_failures","0","Empty","Integration","No","Unknown","Expected empty (see report §11.2)","True","2","0"
"integration","integration_logs","0","Empty","Integration","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"integration","retry_queue","0","Empty","Integration","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"integration","webhooks","0","Empty","Integration","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"monitoring","compliance_reviews","0","Empty","Monitoring","No","Known","seed 18 no-op (APP-2024 anchor) - should contain data","True","2","0"
"monitoring","corrective_actions","0","Empty","Monitoring","No","Known","seed 18 no-op (APP-2024 anchor) - should contain data","True","1","0"
"monitoring","deviations","0","Empty","Monitoring","No","Known","seed 18 no-op (APP-2024 anchor) - should contain data","True","1","0"
"monitoring","inspection_reports","0","Empty","Monitoring","No","Known","seed 18 no-op (APP-2024 anchor) - should contain data","True","1","0"
"monitoring","inspections","0","Empty","Monitoring","No","Known","seed 18 no-op (APP-2024 anchor) - should contain data","True","2","1"
"monitoring","monitoring_findings","0","Empty","Monitoring","No","Known","seed 18 no-op (APP-2024 anchor) - should contain data","True","1","2"
"monitoring","monitoring_plans","0","Empty","Monitoring","No","Known","seed 18 no-op (APP-2024 anchor) - should contain data","True","1","1"
"monitoring","monitoring_visits","0","Empty","Monitoring","No","Known","seed 18 no-op (APP-2024 anchor) - should contain data","True","2","1"
"monitoring","preventive_actions","0","Empty","Monitoring","No","Known","seed 18 no-op (APP-2024 anchor) - should contain data","True","1","0"
"monitoring","protocol_violations","0","Empty","Monitoring","No","Known","seed 18 no-op (APP-2024 anchor) - should contain data","True","1","0"
"ops","seed_tracker","78","Partial","Operations","No","Unknown","","True","0","0"
"public","perf_results","0","Empty","Utilities","No","Unknown","Expected empty (see report §11.2)","(none)","0","0"
"public","pgmigrations","0","Empty","Utilities","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"public","v_chair_id","1","Minimal","Utilities","No","Unknown","","(none)","0","0"
"public","v_inst_codes","1","Minimal","Utilities","No","Unknown","","(none)","0","0"
"public","v_user_id","1","Minimal","Utilities","No","Unknown","","(none)","0","0"
"reference","academic_titles","11","Partial","Reference Data","No","Known","","True","0","1"
"reference","application_statuses","14","Partial","Reference Data","No","Known","","True","0","0"
"reference","committee_decision_types","5","Minimal","Reference Data","No","Known","","True","0","0"
"reference","document_statuses","4","Minimal","Reference Data","No","Known","","True","0","0"
"reference","institutions_registry","0","Empty","Reference Data","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"reference","licenses_registry","0","Empty","Reference Data","No","Unknown","Expected empty (see report §11.2)","True","3","0"
"reference","lookup_categories","3","Minimal","Reference Data","No","Known","","True","0","1"
"reference","lookup_values","11","Partial","Reference Data","No","Known","","True","1","0"
"reference","notification_statuses","7","Minimal","Reference Data","No","Known","","True","0","0"
"reference","priority_levels","4","Minimal","Reference Data","No","Known","","True","0","0"
"reference","professions_registry","10","Partial","Reference Data","No","Unknown","","True","0","1"
"reference","review_statuses","4","Minimal","Reference Data","No","Known","","True","0","0"
"reference","risk_levels","3","Minimal","Reference Data","No","Known","","True","0","0"
"reference","status_types","5","Minimal","Reference Data","No","Known","","True","0","0"
"reference","vote_types","4","Minimal","Reference Data","No","Known","","True","0","0"
"reference","workflow_statuses","3","Minimal","Reference Data","No","Known","","True","0","0"
"reporting","analytics_snapshots","0","Empty","Reporting","No","Known","Matviews unrefreshed - should contain data","True","0","0"
"reporting","dashboard_widgets","6","Minimal","Reporting","No","Known","","True","0","0"
"reporting","kpi_results","0","Empty","Reporting","No","Known","Matviews unrefreshed - should contain data","True","0","0"
"reporting","report_definitions","5","Minimal","Reporting","No","Known","","True","0","1"
"reporting","report_executions","0","Empty","Reporting","No","Unknown","Matviews unrefreshed - should contain data","True","2","0"
"safety","adverse_events","0","Empty","Safety","No","Known","seed 17 no-op (APP-2024 anchor) - should contain data","True","2","2"
"safety","corrective_actions","0","Empty","Safety","No","Known","seed 17 no-op (APP-2024 anchor) - should contain data","True","2","0"
"safety","mitigation_actions","0","Empty","Safety","No","Known","seed 17 no-op (APP-2024 anchor) - should contain data","True","3","0"
"safety","risk_assessments","0","Empty","Safety","No","Known","seed 17 no-op (APP-2024 anchor) - should contain data","True","2","1"
"safety","risk_categories","0","Empty","Safety","No","Known","seed 17 no-op (APP-2024 anchor) - should contain data","True","0","3"
"safety","risk_incidents","0","Empty","Safety","No","Unknown","seed 17 no-op (APP-2024 anchor) - should contain data","True","2","1"
"safety","risk_mitigations","0","Empty","Safety","No","Unknown","seed 17 no-op (APP-2024 anchor) - should contain data","True","2","0"
"safety","risk_register","0","Empty","Safety","No","Known","seed 17 no-op (APP-2024 anchor) - should contain data","True","4","2"
"safety","safety_committee_reviews","0","Empty","Safety","No","Known","seed 17 no-op (APP-2024 anchor) - should contain data","True","3","0"
"safety","safety_followups","0","Empty","Safety","No","Known","seed 17 no-op (APP-2024 anchor) - should contain data","True","1","0"
"safety","safety_reports","0","Empty","Safety","No","Known","seed 17 no-op (APP-2024 anchor) - should contain data","True","2","0"
"safety","serious_adverse_events","0","Empty","Safety","No","Known","seed 17 no-op (APP-2024 anchor) - should contain data","True","1","0"
"security","access_policies","7","Minimal","Security","No","Known","","True","0","0"
"security","api_keys","9","Minimal","Auth & Sessions","No","Known","","True","1","0"
"security","approval_authorities","0","Empty","Security Governance","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"security","approval_limits","0","Empty","Security Governance","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"security","certificate_revocations","0","Empty","Security Governance","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"security","departments","127","Well Populated","Departments","Yes","Known","","True","1","1"
"security","digital_certificates","0","Empty","Security Governance","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"security","email_verification_tokens","13","Partial","Auth & Sessions","No","Unknown","","True","1","0"
"security","institution_types","4","Minimal","Institutions","No","Known","","True","0","1"
"security","institutions","41","Partial","Institutions","Yes","Known","","True","1","4"
"security","login_audit","488","Well Populated","Auth & Sessions","No","Known","","True","1","0"
"security","password_history","95","Partial","Auth & Sessions","No","Known","","True","1","0"
"security","password_reset_tokens","0","Empty","Auth & Sessions","No","Unknown","Expected empty (see report §11.2)","True","2","0"
"security","permissions","32","Partial","Roles","Yes","Known","","True","0","1"
"security","policy_conditions","0","Empty","Security Governance","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"security","policy_rules","0","Empty","Security Governance","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"security","responsibility_types","6","Minimal","Security Governance","No","Unknown","","True","0","1"
"security","role_delegations","0","Empty","Roles","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"security","role_permissions","114","Well Populated","Roles","Yes","Known","","True","2","0"
"security","roles","7","Minimal","Roles","Yes","Known","","True","0","3"
"security","security_events","0","Empty","Security Governance","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"security","segregation_rules","0","Empty","Security Governance","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"security","sessions","372","Well Populated","Auth & Sessions","Yes","Known","","True","1","0"
"security","user_profiles","101","Well Populated","Users","Yes","Known","","True","2","0"
"security","user_responsibilities","16","Partial","Users","No","Known","","True","4","0"
"security","user_roles","107","Well Populated","Users","Yes","Known","","True","2","0"
"security","users","106","Well Populated","Users","Yes","Known","","True","2","93"
"system","audit_config","6","Minimal","System","No","Unknown","","True","0","0"
"system","audit_log","0","Empty","System","No","Known","Expected empty (see report §11.2)","True","1","0"
"system","business_rules","0","Empty","System","No","Unknown","Expected empty (see report §11.2)","True","0","3"
"system","email_config","1","Minimal","System","No","Unknown","","True","0","0"
"system","feature_flags","0","Empty","System","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"system","maintenance_log","0","Empty","System","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"system","push_config","0","Empty","System","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"system","rule_actions","0","Empty","System","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"system","rule_conditions","0","Empty","System","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"system","rule_executions","0","Empty","System","No","Unknown","Expected empty (see report §11.2)","True","2","0"
"system","rule_versions","0","Empty","System","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"system","saved_searches","1","Minimal","System","No","Unknown","","True","1","0"
"system","search_audit","0","Empty","System","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"system","search_indexes","0","Empty","System","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"system","sms_config","1","Minimal","System","No","Unknown","","True","0","0"
"system","system_config","11","Partial","System","No","Unknown","","True","0","0"
"templates","categories","12","Partial","Templates","No","Unknown","","True","1","2"
"templates","event_template_mapping","0","Empty","Templates","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"templates","template_approval_workflow","0","Empty","Templates","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"templates","template_localizations","0","Empty","Templates","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"templates","template_outputs","0","Empty","Templates","No","Unknown","Expected empty (see report §11.2)","True","1","1"
"templates","template_package_members","0","Empty","Templates","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"templates","template_packages","0","Empty","Templates","No","Unknown","Expected empty (see report §11.2)","True","0","1"
"templates","template_partials","5","Minimal","Templates","No","Unknown","","True","1","0"
"templates","template_render_history","0","Empty","Templates","No","Unknown","Expected empty (see report §11.2)","True","0","0"
"templates","template_render_jobs","0","Empty","Templates","No","Unknown","Expected empty (see report §11.2)","True","2","0"
"templates","template_usage_statistics","0","Empty","Templates","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"templates","template_validation_tests","0","Empty","Templates","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"templates","template_variables","44","Partial","Templates","No","Unknown","","True","0","0"
"templates","template_version_audit","4","Minimal","Templates","No","Unknown","","True","0","0"
"templates","template_versions","13","Partial","Templates","No","Unknown","","True","1","5"
"templates","templates","12","Partial","Templates","No","Unknown","","True","1","3"
"workflow","workflow_actions","489","Well Populated","Workflow","Yes","Known","","True","3","0"
"workflow","workflow_comments","0","Empty","Workflow","No","Unknown","Expected empty (see report §11.2)","True","2","0"
"workflow","workflow_escalations","0","Empty","Workflow","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"workflow","workflow_events","0","Empty","Workflow","No","Unknown","Expected empty (see report §11.2)","True","2","0"
"workflow","workflow_history","30","Partial","Workflow","No","Unknown","","True","1","0"
"workflow","workflow_instances","98","Partial","Workflow","Yes","Known","","True","2","6"
"workflow","workflow_schedulers","0","Empty","Workflow","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"workflow","workflow_sla","0","Empty","Workflow","No","Known","Should contain seed data - empty (see report §11.1)","True","2","0"
"workflow","workflow_states","14","Partial","Workflow","Yes","Known","","True","1","4"
"workflow","workflow_tasks","0","Empty","Workflow","No","Unknown","Should contain seed data - empty (see report §11.1)","True","2","1"
"workflow","workflow_transitions","32","Partial","Workflow","Yes","Known","","True","3","1"
"workflow","workflow_triggers","0","Empty","Workflow","No","Unknown","Expected empty (see report §11.2)","True","1","0"
"workflow","workflow_variables","0","Empty","Workflow","No","Known","Expected empty (see report §11.2)","True","1","0"
"workflow","workflows","1","Minimal","Workflow","Yes","Known","","True","0","6"
