"Schema","Table","Rows","Seeded","BusinessCritical","ShouldHaveSeedData","CurrentCoverage","RecommendedCoverage","Priority","Notes"
"core","application_sections","0","Unknown","No","Yes","Empty","Must seed","Critical","Should contain seed data"
"core","application_validations","0","Unknown","No","Yes","Empty","Must seed","Critical","Should contain seed data"
"core","application_versions","34","Unknown","Yes","Yes","Partially Populated","Enrich","High",""
"core","applications","112","Known","Yes","Yes","Well Populated","Maintain","High",""
"core","closure_requests","0","Known","No","Yes","Empty","Must seed","High","Should contain seed data"
"core","project_attachments","0","Unknown","No","No","Empty","None needed","Low",""
"core","project_funding_sources","93","Known","Yes","Yes","Partially Populated","Enrich","High",""
"core","project_keywords","372","Known","Yes","Yes","Well Populated","Maintain","High",""
"core","project_site_investigators","0","Known","No","No","Empty","None needed","Low",""
"core","project_sites","93","Known","Yes","Yes","Partially Populated","Enrich","High",""
"core","project_status_history","93","Known","Yes","Yes","Partially Populated","Enrich","High",""
"core","project_tags","0","Known","No","No","Empty","None needed","Low",""
"core","project_team_members","141","Known","Yes","Yes","Well Populated","Maintain","High",""
"core","project_versions","0","Unknown","No","No","Empty","None needed","Low",""
"core","projects","121","Known","Yes","Yes","Well Populated","Maintain","High",""
"core","renewal_requests","0","Known","No","Yes","Empty","Must seed","High","Should contain seed data"
"core","research_categories","8","Unknown","No","Yes","Minimal","Expand","Medium",""
"core","research_population_links","0","Unknown","No","No","Empty","None needed","Low",""
"core","risk_classifications","4","Unknown","No","Yes","Minimal","Expand","Medium",""
"core","vulnerable_populations","6","Unknown","No","Yes","Minimal","Expand","Medium",""
"documents","approval_certificate_documents","0","Unknown","No","No","Empty","None needed","Low",""
"documents","approval_certificates","57","Known","Yes","Yes","Partially Populated","Enrich","High",""
"documents","certificate_verification_log","0","Unknown","No","No","Empty","None needed","Low",""
"documents","document_access","3956","Known","No","Yes","Well Populated","Maintain","Low",""
"documents","document_approvals","0","Known","No","Yes","Empty","Must seed","Critical","Should contain seed data"
"documents","document_audit","12","Known","No","Yes","Partially Populated","Enrich","Medium",""
"documents","document_classifications","4","Unknown","No","Yes","Minimal","Expand","Medium",""
"documents","document_disposal_logs","0","Unknown","No","No","Empty","None needed","Low",""
"documents","document_lifecycle_states","10","Known","No","Yes","Partially Populated","Maintain (complete)","Low",""
"documents","document_lifecycle_transitions","14","Known","No","Yes","Partially Populated","Maintain (complete)","Low",""
"documents","document_numbering","8","Known","No","Yes","Minimal","Expand","Medium",""
"documents","document_retention_rules","27","Known","No","Yes","Partially Populated","Maintain (complete)","Low",""
"documents","document_signature_types","9","Known","No","Yes","Minimal","Maintain (complete)","Low",""
"documents","document_signatures","2","Unknown","No","Yes","Minimal","Expand","Medium",""
"documents","document_types","28","Known","Yes","Yes","Partially Populated","Maintain (complete)","Low",""
"documents","document_verification_log","1","Unknown","No","Yes","Minimal","Expand","Medium",""
"documents","document_versions","36","Known","Yes","Yes","Partially Populated","Enrich","High",""
"documents","document_watermark_config","7","Known","No","Yes","Minimal","Expand","Medium",""
"documents","documents","1062","Known","Yes","Yes","Well Populated","Maintain","High",""
"documents","generated_documents","12","Known","No","Yes","Partially Populated","Enrich","Medium",""
"documents","templates","25","Known","No","Yes","Partially Populated","Enrich","Medium",""
"forms","form_definitions","9","Known","Yes","Yes","Minimal","Maintain (complete)","Low",""
"forms","form_instances","24","Unknown","Yes","Yes","Partially Populated","Enrich","High",""
"integration","data_sync_jobs","0","Unknown","No","No","Empty","None needed","Low","Expected empty (integrations out of RC4 scope)"
"integration","event_bus_config","0","Unknown","No","No","Empty","None needed","Low","Expected empty (integrations out of RC4 scope)"
"integration","event_outbox","30","Unknown","No","No","Partially Populated","None needed","Low",""
"integration","event_subscriptions","0","Unknown","No","No","Empty","None needed","Low","Expected empty (integrations out of RC4 scope)"
"integration","external_systems","0","Unknown","No","No","Empty","None needed","Low","Expected empty (integrations out of RC4 scope)"
"integration","integration_credentials","0","Unknown","No","No","Empty","None needed","Low","Expected empty (integrations out of RC4 scope)"
"integration","integration_failures","0","Unknown","No","No","Empty","None needed","Low","Expected empty (integrations out of RC4 scope)"
"integration","integration_logs","0","Unknown","No","No","Empty","None needed","Low","Expected empty (integrations out of RC4 scope)"
"integration","retry_queue","0","Unknown","No","No","Empty","None needed","Low","Expected empty (integrations out of RC4 scope)"
"integration","webhooks","0","Unknown","No","No","Empty","None needed","Low","Expected empty (integrations out of RC4 scope)"
"monitoring","compliance_reviews","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 18 no-op (APP-2024 anchor)"
"monitoring","corrective_actions","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 18 no-op (APP-2024 anchor)"
"monitoring","deviations","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 18 no-op (APP-2024 anchor)"
"monitoring","inspection_reports","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 18 no-op (APP-2024 anchor)"
"monitoring","inspections","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 18 no-op (APP-2024 anchor)"
"monitoring","monitoring_findings","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 18 no-op (APP-2024 anchor)"
"monitoring","monitoring_plans","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 18 no-op (APP-2024 anchor)"
"monitoring","monitoring_visits","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 18 no-op (APP-2024 anchor)"
"monitoring","preventive_actions","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 18 no-op (APP-2024 anchor)"
"monitoring","protocol_violations","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 18 no-op (APP-2024 anchor)"
"ops","seed_tracker","78","Unknown","No","No","Partially Populated","None needed","Low",""
"public","perf_results","0","Unknown","No","No","Empty","None needed","Low",""
"public","pgmigrations","0","Unknown","No","No","Empty","None needed","Low",""
"public","v_chair_id","1","Unknown","No","No","Minimal","None needed","Low",""
"public","v_inst_codes","1","Unknown","No","No","Minimal","None needed","Low",""
"public","v_user_id","1","Unknown","No","No","Minimal","None needed","Low",""
"reference","academic_titles","11","Known","No","Yes","Partially Populated","Enrich","Medium",""
"reference","application_statuses","14","Known","No","Yes","Partially Populated","Maintain (complete)","Low",""
"reference","committee_decision_types","5","Known","No","Yes","Minimal","Expand","Medium",""
"reference","document_statuses","4","Known","No","Yes","Minimal","Expand","Medium",""
"reference","institutions_registry","0","Unknown","No","No","Empty","None needed","Low","Expected empty (registry not yet used)"
"reference","licenses_registry","0","Unknown","No","No","Empty","None needed","Low","Expected empty (registry not yet used)"
"reference","lookup_categories","3","Known","No","Yes","Minimal","Expand","Medium",""
"reference","lookup_values","11","Known","No","Yes","Partially Populated","Enrich","Medium",""
"reference","notification_statuses","7","Known","No","Yes","Minimal","Expand","Medium",""
"reference","priority_levels","4","Known","No","Yes","Minimal","Expand","Medium",""
"reference","professions_registry","10","Unknown","No","Yes","Partially Populated","Enrich","Medium",""
"reference","review_statuses","4","Known","No","Yes","Minimal","Expand","Medium",""
"reference","risk_levels","3","Known","No","Yes","Minimal","Expand","Medium",""
"reference","status_types","5","Known","No","Yes","Minimal","Expand","Medium",""
"reference","vote_types","4","Known","No","Yes","Minimal","Expand","Medium",""
"reference","workflow_statuses","3","Known","No","Yes","Minimal","Expand","Medium",""
"reporting","analytics_snapshots","0","Known","No","Yes","Empty","Must seed","Critical","Expected empty (matviews unrefreshed)"
"reporting","dashboard_widgets","6","Known","No","Yes","Minimal","Expand","Medium",""
"reporting","kpi_results","0","Known","No","Yes","Empty","Must seed","Critical","Expected empty (matviews unrefreshed)"
"reporting","report_definitions","5","Known","No","Yes","Minimal","Expand","Medium",""
"reporting","report_executions","0","Unknown","No","Yes","Empty","Must seed","High","Expected empty (matviews unrefreshed)"
"safety","adverse_events","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 17 no-op (APP-2024 anchor)"
"safety","corrective_actions","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 17 no-op (APP-2024 anchor)"
"safety","mitigation_actions","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 17 no-op (APP-2024 anchor)"
"safety","risk_assessments","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 17 no-op (APP-2024 anchor)"
"safety","risk_categories","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 17 no-op (APP-2024 anchor)"
"safety","risk_incidents","0","Unknown","No","Yes","Empty","Must seed","High","Expected empty - seed 17 no-op (APP-2024 anchor)"
"safety","risk_mitigations","0","Unknown","No","Yes","Empty","Must seed","High","Expected empty - seed 17 no-op (APP-2024 anchor)"
"safety","risk_register","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 17 no-op (APP-2024 anchor)"
"safety","safety_committee_reviews","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 17 no-op (APP-2024 anchor)"
"safety","safety_followups","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 17 no-op (APP-2024 anchor)"
"safety","safety_reports","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 17 no-op (APP-2024 anchor)"
"safety","serious_adverse_events","0","Known","No","Yes","Empty","Must seed","High","Expected empty - seed 17 no-op (APP-2024 anchor)"
"security","access_policies","7","Known","No","Yes","Minimal","Expand","Medium",""
"security","api_keys","9","Known","No","Yes","Minimal","Expand","Medium",""
"security","approval_authorities","0","Unknown","No","No","Empty","None needed","Low",""
"security","approval_limits","0","Unknown","No","No","Empty","None needed","Low",""
"security","certificate_revocations","0","Unknown","No","No","Empty","None needed","Low",""
"security","departments","127","Known","Yes","Yes","Well Populated","Maintain (complete)","Low",""
"security","digital_certificates","0","Unknown","No","No","Empty","None needed","Low",""
"security","email_verification_tokens","13","Unknown","No","Yes","Partially Populated","Enrich","Medium",""
"security","institution_types","4","Known","No","Yes","Minimal","Maintain (complete)","Low",""
"security","institutions","41","Known","Yes","Yes","Partially Populated","Maintain (complete)","Low",""
"security","login_audit","488","Known","No","Yes","Well Populated","Maintain","Low",""
"security","password_history","95","Known","No","Yes","Partially Populated","Enrich","Medium",""
"security","password_reset_tokens","0","Unknown","No","No","Empty","None needed","Low",""
"security","permissions","32","Known","Yes","Yes","Partially Populated","Maintain (complete)","Low",""
"security","policy_conditions","0","Unknown","No","No","Empty","None needed","Low",""
"security","policy_rules","0","Unknown","No","No","Empty","None needed","Low",""
"security","responsibility_types","6","Unknown","No","No","Minimal","None needed","Low",""
"security","role_delegations","0","Unknown","No","No","Empty","None needed","Low",""
"security","role_permissions","114","Known","Yes","Yes","Well Populated","Maintain (complete)","Low",""
"security","roles","7","Known","Yes","Yes","Minimal","Maintain (complete)","Low",""
"security","security_events","0","Unknown","No","No","Empty","None needed","Low",""
"security","segregation_rules","0","Unknown","No","No","Empty","None needed","Low",""
"security","sessions","372","Known","Yes","Yes","Well Populated","Maintain","High",""
"security","user_profiles","101","Known","Yes","Yes","Well Populated","Maintain","High",""
"security","user_responsibilities","16","Known","No","Yes","Partially Populated","Enrich","Medium",""
"security","user_roles","107","Known","Yes","Yes","Well Populated","Maintain","High",""
"security","users","106","Known","Yes","Yes","Well Populated","Maintain","High",""
"system","audit_config","6","Unknown","No","No","Minimal","None needed","Low",""
"system","audit_log","0","Known","No","No","Empty","None needed","Low",""
"system","business_rules","0","Unknown","No","No","Empty","None needed","Low",""
"system","email_config","1","Unknown","No","No","Minimal","None needed","Low",""
"system","feature_flags","0","Unknown","No","No","Empty","None needed","Low",""
"system","maintenance_log","0","Unknown","No","No","Empty","None needed","Low",""
"system","push_config","0","Unknown","No","No","Empty","None needed","Low",""
"system","rule_actions","0","Unknown","No","No","Empty","None needed","Low",""
"system","rule_conditions","0","Unknown","No","No","Empty","None needed","Low",""
"system","rule_executions","0","Unknown","No","No","Empty","None needed","Low",""
"system","rule_versions","0","Unknown","No","No","Empty","None needed","Low",""
"system","saved_searches","1","Unknown","No","No","Minimal","None needed","Low",""
"system","search_audit","0","Unknown","No","No","Empty","None needed","Low",""
"system","search_indexes","0","Unknown","No","No","Empty","None needed","Low",""
"system","sms_config","1","Unknown","No","No","Minimal","None needed","Low",""
"system","system_config","11","Unknown","No","No","Partially Populated","None needed","Low",""
"templates","categories","12","Unknown","No","Yes","Partially Populated","Enrich","Medium",""
"templates","event_template_mapping","0","Unknown","No","No","Empty","None needed","Low",""
"templates","template_approval_workflow","0","Unknown","No","No","Empty","None needed","Low",""
"templates","template_localizations","0","Unknown","No","No","Empty","None needed","Low",""
"templates","template_outputs","0","Unknown","No","No","Empty","None needed","Low",""
"templates","template_package_members","0","Unknown","No","No","Empty","None needed","Low",""
"templates","template_packages","0","Unknown","No","No","Empty","None needed","Low",""
"templates","template_partials","5","Unknown","No","Yes","Minimal","Expand","Medium",""
"templates","template_render_history","0","Unknown","No","No","Empty","None needed","Low",""
"templates","template_render_jobs","0","Unknown","No","No","Empty","None needed","Low",""
"templates","template_usage_statistics","0","Unknown","No","No","Empty","None needed","Low",""
"templates","template_validation_tests","0","Unknown","No","No","Empty","None needed","Low",""
"templates","template_variables","44","Unknown","No","Yes","Partially Populated","Enrich","Medium",""
"templates","template_version_audit","4","Unknown","No","Yes","Minimal","Expand","Medium",""
"templates","template_versions","13","Unknown","No","Yes","Partially Populated","Enrich","Medium",""
"templates","templates","12","Unknown","No","Yes","Partially Populated","Enrich","Medium",""
"workflow","workflow_actions","489","Known","Yes","Yes","Well Populated","Maintain","High",""
"workflow","workflow_comments","0","Unknown","No","No","Empty","None needed","Low",""
"workflow","workflow_escalations","0","Unknown","No","No","Empty","None needed","Low",""
"workflow","workflow_events","0","Unknown","No","No","Empty","None needed","Low",""
"workflow","workflow_history","30","Unknown","No","Yes","Partially Populated","Enrich","Medium",""
"workflow","workflow_instances","98","Known","Yes","Yes","Partially Populated","Enrich","High",""
"workflow","workflow_schedulers","0","Unknown","No","No","Empty","None needed","Low",""
"workflow","workflow_sla","0","Known","No","Yes","Empty","Must seed","Critical","Should contain seed data"
"workflow","workflow_states","14","Known","Yes","Yes","Partially Populated","Maintain (complete)","Low",""
"workflow","workflow_tasks","0","Unknown","No","Yes","Empty","Must seed","Critical","Should contain seed data"
"workflow","workflow_transitions","32","Known","Yes","Yes","Partially Populated","Maintain (complete)","Low",""
"workflow","workflow_triggers","0","Unknown","No","No","Empty","None needed","Low",""
"workflow","workflow_variables","0","Known","No","No","Empty","None needed","Low",""
"workflow","workflows","1","Known","Yes","Yes","Minimal","Maintain (complete)","Low",""
