"Seed","CurrentType","Inserts","ArchitecturalRole","TargetBucket","Idempotent","SilentNoOpRisk","Notes"
"51-accreditation-workflow.sql","DATA","18","Reference Seed","seed/reference/","True","True","silent no-op risk"
"51-yemen-users.sql","MIXED","104","Demo Fixture","seed/fixtures/demo/","True","True","MIXED responsibilities (DDL+data in one file) — split target; silent no-op risk"
"52-yemen-projects.sql","DATA","885","Demo Fixture","seed/fixtures/demo/","True","True","silent no-op risk"
"53-yemen-applications.sql","DATA","1613","Demo Fixture","seed/fixtures/demo/","True","True","silent no-op risk"
"54-yemen-documents.sql","DATA","1516","Demo Fixture","seed/fixtures/demo/","True","True","silent no-op risk"
"55-forms-library.sql","MIXED","9","Migration","migrations/","True","True","MIXED responsibilities (DDL+data in one file) — split target; silent no-op risk"
"56-forms-library-templates.sql","DATA","5","Reference Seed","seed/reference/","True","False",""
"57-document-infrastructure.sql","DDL","0","Migration","migrations/","True","False",""
"58-gate0-document-lifecycle.sql","MIXED","6","Migration","migrations/","True","True","MIXED responsibilities (DDL+data in one file) — split target; silent no-op risk"
"58-official-templates-en.sql","DATA","9","Reference Seed","seed/reference/","True","False",""
"59-gate0-document-rls.sql","DDL","0","Migration","migrations/","True","False",""
"60-gate0-document-signatures.sql","MIXED","1","Reference Seed","seed/reference/","True","False","MIXED responsibilities (DDL+data in one file) — split target"
"61-gate0-document-audit-signer-rls.sql","DDL","0","Migration","migrations/","True","False",""
"62-watermark-engine.sql","DDL","0","Migration","migrations/","True","False",""
"63-document-retention-rules.sql","DATA","1","Reference Seed","seed/reference/","True","False",""
"64-application-registration.sql","DATA","5","Reference Seed","seed/reference/","True","True","silent no-op risk"
"90-gen-test-data.sql","DATA","9","Test Fixture","seed/fixtures/test/","True","True","silent no-op risk"
"95-pilot-dataset.sql","DATA","55","Demo Fixture","seed/fixtures/demo/","True","True","silent no-op risk"
"96-realistic-data.sql","DATA","51","Test Fixture","seed/fixtures/test/","True","True","silent no-op risk"
"99-fix-checksums.sql","OTHER","0","Infrastructure Script","scripts/infrastructure/","False","False","non-idempotent"
"migration-add-question-options.sql","DDL","0","Migration","migrations/","True","False",""
