"Module","Method","Route","Layer","Target","Method2","Repos","ReadTables","EmptyReads","WriteTables"
"admin","GET","/api/v1/admin/audit-log/actions","SERVICE","AdminService","getDistinctActions","AdminRepository","audit.audit_logs;committee.committee_meetings;committee.committees;committee.review_assignments;core.applications;core.projects;security.users","",""
"admin","GET","/api/v1/admin/online-users","SERVICE","AdminService","getOnlineUsers","AdminRepository","audit.audit_logs;committee.committee_meetings;committee.committees;committee.review_assignments;core.applications;core.projects;security.users","",""
"admin","GET","/api/v1/admin/recent-activity","SERVICE","AdminService","getRecentActivity","AdminRepository","audit.audit_logs;committee.committee_meetings;committee.committees;committee.review_assignments;core.applications;core.projects;security.users","",""
"committee","GET","/api/v1/committee/accreditation/cycles","SERVICE","AccreditationService","getCycles","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","GET","/api/v1/committee/accreditation/cycles/:id","SERVICE","AccreditationService","getCycle","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","POST","/api/v1/committee/accreditation/cycles","SERVICE","AccreditationService","createCycle","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","PATCH","/api/v1/committee/accreditation/cycles/:id/status","SERVICE","AccreditationService","updateCycleStatus","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","DELETE","/api/v1/committee/accreditation/cycles/:id","SERVICE","AccreditationService","deleteCycle","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","GET","/api/v1/committee/accreditation/standards","SERVICE","AccreditationService","getStandards","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","GET","/api/v1/committee/accreditation/cycles/:cycleId/assessments","SERVICE","AccreditationService","getAssessments","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","GET","/api/v1/committee/accreditation/assessments/:id","SERVICE","AccreditationService","getAssessment","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","POST","/api/v1/committee/accreditation/cycles/:cycleId/assessments","SERVICE","AccreditationService","createAssessment","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","PUT","/api/v1/committee/accreditation/assessments/:id/items","SERVICE","AccreditationService","updateAssessmentItems","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","DELETE","/api/v1/committee/accreditation/assessments/:id","SERVICE","AccreditationService","deleteAssessment","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","GET","/api/v1/committee/accreditation/cycles/:cycleId/evidence","SERVICE","AccreditationService","getEvidence","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","GET","/api/v1/committee/accreditation/evidence/:id","SERVICE","AccreditationService","getEvidenceItem","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","POST","/api/v1/committee/accreditation/cycles/:cycleId/evidence","SERVICE","AccreditationService","createEvidence","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","PATCH","/api/v1/committee/accreditation/evidence/:id/status","SERVICE","AccreditationService","updateEvidenceStatus","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","DELETE","/api/v1/committee/accreditation/evidence/:id","SERVICE","AccreditationService","deleteEvidence","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","GET","/api/v1/committee/accreditation/cycles/:cycleId/conditions","SERVICE","AccreditationService","getConditions","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","GET","/api/v1/committee/accreditation/conditions/:id","SERVICE","AccreditationService","getCondition","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","POST","/api/v1/committee/accreditation/cycles/:cycleId/conditions","SERVICE","AccreditationService","createCondition","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","PATCH","/api/v1/committee/accreditation/conditions/:id/status","SERVICE","AccreditationService","resolveCondition","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","GET","/api/v1/committee/accreditation/cycles/:cycleId/decisions","SERVICE","AccreditationService","getDecisions","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","GET","/api/v1/committee/accreditation/decisions/:id","SERVICE","AccreditationService","getDecision","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","POST","/api/v1/committee/accreditation/cycles/:cycleId/decisions","SERVICE","AccreditationService","createDecision","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards;committee.committees;security.institutions;security.users","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence;committee.accreditation_standard_versions;committee.accreditation_standards","committee.accreditation_assessment_items;committee.accreditation_assessments;committee.accreditation_conditions;committee.accreditation_cycles;committee.accreditation_decisions;committee.accreditation_evidence"
"committee","GET","/api/v1/committee/committees/committee-types","SERVICE","CommitteeService","getTypes","ApplicationRepository;CommitteeRepository;DocumentRepository;MeetingRepository;MemberRepository;ReviewRepository;VotingRepository","committee.agenda_items;committee.attendance_logs;committee.committee_meetings;committee.committee_member_roles;committee.committee_members;committee.committee_roles;committee.committee_types;committee.committees;committee.meeting_agendas;committee.meeting_minutes;committee.member_conflicts;committee.member_qualifications;committee.member_terms;committee.review_answers;committee.review_assignments;committee.review_comments;committee.review_forms;committee.review_questions;committee.review_recommendations;committee.review_scores;committee.votes;committee.voting_sessions;core.applications;core.projects;documents.document_classifications;documents.document_retention_rules;documents.document_signatures;documents.document_types;documents.documents;reference.application_statuses;security.institutions;security.users","committee.agenda_items;committee.committee_member_roles;committee.meeting_minutes;committee.member_conflicts;committee.member_qualifications;committee.member_terms;committee.review_answers;committee.review_scores","committee.agenda_items;committee.attendance_logs;committee.committee_meetings;committee.committee_members;committee.committees;committee.meeting_agendas;committee.meeting_minutes;committee.member_conflicts;committee.member_qualifications;committee.member_terms;committee.review_answers;committee.review_assignments;committee.review_comments;committee.review_forms;committee.review_questions;committee.review_recommendations;committee.review_scores;committee.votes;committee.voting_sessions;core.applications;documents.document_audit;documents.document_signatures;documents.documents"
"committee","GET","/api/v1/committee/committees/committee-roles","SERVICE","CommitteeService","getRoles","ApplicationRepository;CommitteeRepository;DocumentRepository;MeetingRepository;MemberRepository;ReviewRepository;VotingRepository","committee.agenda_items;committee.attendance_logs;committee.committee_meetings;committee.committee_member_roles;committee.committee_members;committee.committee_roles;committee.committee_types;committee.committees;committee.meeting_agendas;committee.meeting_minutes;committee.member_conflicts;committee.member_qualifications;committee.member_terms;committee.review_answers;committee.review_assignments;committee.review_comments;committee.review_forms;committee.review_questions;committee.review_recommendations;committee.review_scores;committee.votes;committee.voting_sessions;core.applications;core.projects;documents.document_classifications;documents.document_retention_rules;documents.document_signatures;documents.document_types;documents.documents;reference.application_statuses;security.institutions;security.users","committee.agenda_items;committee.committee_member_roles;committee.meeting_minutes;committee.member_conflicts;committee.member_qualifications;committee.member_terms;committee.review_answers;committee.review_scores","committee.agenda_items;committee.attendance_logs;committee.committee_meetings;committee.committee_members;committee.committees;committee.meeting_agendas;committee.meeting_minutes;committee.member_conflicts;committee.member_qualifications;committee.member_terms;committee.review_answers;committee.review_assignments;committee.review_comments;committee.review_forms;committee.review_questions;committee.review_recommendations;committee.review_scores;committee.votes;committee.voting_sessions;core.applications;documents.document_audit;documents.document_signatures;documents.documents"
