Domain,Feature,Status,Backend Evidence,Frontend Evidence,Database Evidence,API Evidence,Test Evidence,Notes
Committees,Member Management,Implemented,committee.service.ts,CommitteeDetail.tsx,committee.committee_members,POST /committees/:id/members,Vitest tests,Role assignment
Committees,Meeting Management,Implemented,meeting.service.ts,CommitteeMeetings.tsx,committee.meetings,GET/POST /meetings,Vitest tests,Full lifecycle
Reviews,Review Assignment,Implemented,review.service.ts,MyReviews.tsx,committee.review_assignments,POST /reviews/assign,Vitest tests,Multi-reviewer
Reviews,Review Forms,Implemented,form.service.ts,ReviewFormsPage.tsx,committee.form_definitions,GET/POST /forms,Vitest tests,Configurable
Reviews,Review Answers,Implemented,review.service.ts,MyReviews.tsx,committee.review_answers,POST /reviews/:id/answers,Vitest tests,Scores + comments
Workflow,State Machine,Implemented,workflow.service.ts,—,workflow.workflow_definitions + workflow.workflow_transitions,—,Vitest tests,Generic engine
Workflow,Transition Control,Implemented,workflow.service.ts,—,workflow.workflow_transitions,—,Vitest tests,Role-based transitions
Workflow,16 States,Implemented,—,—,workflow.workflow_states (seed),—,Verified,Complete lifecycle
Workflow,Appeal/Renewal,Implemented,workflow.service.ts,—,workflow.workflow_transitions (seed 100),—,Verified,Transition rules defined
Notifications,Notification Infrastructure,Structural,notification.service.ts,Notifications.tsx,communication.notifications,GET /notifications,Vitest tests,No real delivery
Notifications,Templates,Structural,notification-types.service.ts,—,communication.notification_templates,—,Verified in DB,Defined but unused
Notifications,Email Delivery,Not Implemented,—,—,—,—,—,No SMTP integration
Notifications,SMS Delivery,Not Implemented,—,—,—,—,—,No SMS gateway
Reporting,Reports Page,Structural,reporting.service.ts,ReportsPage.tsx,reporting.* (empty),GET /reports,Partial,No real reports
Reporting,Admin Dashboard,Partially Implemented,admin.service.ts,AdminDashboard.tsx,—,GET /admin/dashboard,Partial,Basic stats only
Reporting,Export,Not Implemented,—,—,—,—,—,No PDF/Excel export
Templates,Form Templates,Implemented,form.service.ts,ReviewFormsPage.tsx,committee.form_definitions,GET/POST /forms,Vitest tests,Configurable
Templates,Document Templates,Implemented,template-renderer.service.ts,DocumentTemplates.tsx,system.document_templates,GET/POST /templates,Vitest tests,Handlebars rendering
Accreditation,Cycle Management,Implemented,accreditation.service.ts,AccreditationCycles.tsx,committee.accreditation_cycles,GET/POST /accreditation/cycles,Vitest tests,Full lifecycle
Accreditation,Assessments,Implemented,accreditation.service.ts,AccreditationAssessments.tsx,committee.accreditation_assessments,GET /accreditation/:id/assessments,Verified in DB,Evidence-based
Accreditation,Evidence,Implemented,accreditation.service.ts,AccreditationEvidence.tsx,committee.accreditation_evidence,POST /accreditation/:id/evidence,Verified in DB,Document upload
Accreditation,Conditions,Implemented,accreditation.service.ts,AccreditationConditions.tsx,committee.accreditation_conditions,GET /accreditation/:id/conditions,Verified in DB,Conditional approval
Safety,Adverse Events,Structural,safety.service.ts,AdverseEvents.tsx,safety.adverse_events,GET/POST /safety/adverse-events,Verified in DB,Schema exists but empty
Safety,Risk Incidents,Structural,safety.service.ts,RiskIncidents.tsx,safety.risk_incidents,GET/POST /safety/risk-incidents,Verified in DB,Schema exists but empty
Safety,Corrective Actions,Structural,safety.service.ts,CorrectiveActions.tsx,safety.corrective_actions,GET/POST /safety/corrective-actions,Verified in DB,Schema exists but empty
Monitoring,Monitoring Plans,Structural,monitoring.service.ts,—,monitoring.monitoring_plans,—,Verified in DB,Empty tables
Monitoring,Monitoring Visits,Structural,monitoring.service.ts,—,monitoring.monitoring_visits,—,Verified in DB,Empty tables
Monitoring,Deviations,Structural,monitoring.service.ts,—,monitoring.deviations,—,Verified in DB,Empty tables
Consent,Consent Templates,Structural,consent.service.ts,ConsentTemplates.tsx,committee.consent_templates,GET /consent/templates,Verified in DB,Schema exists
Consent,Consent Instances,Structural,consent.service.ts,—,committee.consent_instances,—,Verified in DB,Schema exists
Risk Management,Risk Register,Structural,risk.service.ts,RiskRegister.tsx,monitoring.risk_register,GET /risk/register,Verified in DB,Page exists
Risk Management,Ethics Risk Assessment,Structural,ethics-risk.service.ts,—,committee.ethics_risk_assessments,—,Verified in DB,Schema exists
E-Signatures,Document Signatures,Structural,—,ESignaturesPage.tsx,documents.document_signatures,GET /signatures,Verified in DB,No real provider
Integrations,External APIs,Not Implemented,integration.service.ts,—,integration.* (empty),—,—,Empty schema
Audit,Audit Log,Implemented,audit.repository.ts,—,audit.audit_log,GET /audit/logs,Vitest tests,Comprehensive triggers
Audit,Audit Triggers,Implemented,system.fn_log_audit() (DB),—,All tables,—,Verified in SQL,Auto-logging on all DML
Archiving,Document Lifecycle,Partially Implemented,document-lifecycle.service.ts,—,documents.document_lifecycle,—,Partial,Structural support
Archiving,Retention Policies,Structural,—,—,documents.document_retention_rules,—,Verified in DB,No enforcement
Archiving,Checksum Integrity,Implemented,checksum.service.ts,—,documents.document_signatures,—,Verified in DB,SHA-256 on upload
Governance,ADRs,Implemented (Documentation),—,—,—,—,—,36 architectural decision records
Governance,Registries,Implemented (Documentation),rule.registry.ts,—,—,—,—,Runtime code but documentation layer
Governance,Specifications,Implemented (Documentation),—,—,—,—,—,Constitutional architecture docs
