"Schema","Table","RowCount","Category","SeedingPolicy","PrevClass","BackendUsage","HasSeed"
"committee","committees","8","Master Data","May contain seed data","Transactional","QUERIED","True"
"committee","consent_review_comments","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","consent_template_versions","0","Historical","Runtime-generated only","History","QUERIED","True"
"committee","consent_templates","0","Configuration","Must always contain seed data","Configuration","QUERIED","True"
"committee","ethics_reviews","67","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","SEED_ONLY","True"
"committee","ethics_risk_assessments","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","ethics_risk_items","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","meeting_agendas","1","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"committee","meeting_minutes","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"committee","member_conflicts","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","False"
"committee","member_qualifications","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","False"
"committee","member_terms","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","False"
"committee","quorum_logs","0","Operational / Transactional","May contain seed data (scenario/demo only)","History","SEED_ONLY","True"
"committee","review_answers","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","review_assignments","286","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","review_comments","3","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","review_conflicts","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"committee","review_forms","18","Configuration","Must always contain seed data","Transactional","QUERIED","True"
"committee","review_questions","54","Configuration","Must always contain seed data","Transactional","QUERIED","True"
"committee","review_recommendations","3","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","review_scores","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"committee","scientific_reviews","73","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","SEED_ONLY","True"
"committee","votes","2","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"committee","voting_sessions","1","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"communication","announcements","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"communication","message_attachments","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","False"
"communication","message_recipients","36","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"communication","messages","18","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"communication","notification_channels","5","Configuration","Must always contain seed data","Configuration","QUERIED","True"
"communication","notification_logs","12","Logging","Runtime-generated only","History","INSERT_ONLY","True"
"communication","notification_templates","8","Configuration","Must always contain seed data","Configuration","READ_ONLY","True"
"communication","notifications","84","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"communication","user_notification_preferences","0","Configuration","Must always contain seed data","Configuration","READ_ONLY","False"
"core","amendment_requests","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","SEED_ONLY","True"
"core","application_amendments","7","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","SEED_ONLY","True"
"core","application_checklists","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","SEED_ONLY","False"
"core","application_consents","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","QUERIED","True"
"core","application_history","459","Historical","Runtime-generated only","History","SEED_ONLY","True"
"core","application_sections","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","SEED_ONLY","False"
"core","application_validations","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","SEED_ONLY","False"
"core","application_versions","34","Historical","Runtime-generated only","History","SEED_ONLY","False"
"core","applications","112","Master Data","May contain seed data","Transactional","QUERIED","True"
"core","closure_requests","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","SEED_ONLY","True"
"core","project_attachments","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","False"
"core","project_funding_sources","93","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"core","project_keywords","372","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"core","project_site_investigators","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"core","project_sites","93","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"core","project_status_history","93","Historical","Runtime-generated only","History","SEED_ONLY","True"
"core","project_tags","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"core","project_team_members","141","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","SEED_ONLY","True"
"core","project_versions","0","Historical","Runtime-generated only","History","SEED_ONLY","False"
"core","projects","121","Master Data","May contain seed data","Transactional","QUERIED","True"
"core","renewal_requests","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","SEED_ONLY","True"
"core","research_categories","8","Reference Data","Must always contain seed data","Lookup","QUERIED","False"
"core","research_population_links","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","READ_ONLY","False"
"core","risk_classifications","4","Reference Data","Must always contain seed data","Operational","QUERIED","False"
"core","vulnerable_populations","6","Reference Data","Must always contain seed data","Operational","QUERIED","False"
"documents","approval_certificate_documents","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","False"
"documents","approval_certificates","57","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"documents","certificate_verification_log","0","Logging","Runtime-generated only","History","INSERT_ONLY","False"
"documents","document_access","3956","Operational / Transactional","May contain seed data (scenario/demo only)","Bridge","SEED_ONLY","True"
"documents","document_approvals","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"documents","document_audit","12","Audit","Must never be seeded","History","QUERIED","True"
"documents","document_classifications","4","Reference Data","Must always contain seed data","Operational","READ_ONLY","False"
"documents","document_disposal_logs","0","Logging","Runtime-generated only","History","SEED_ONLY","False"
"documents","document_lifecycle_states","10","Configuration","Must always contain seed data","Configuration","READ_ONLY","True"
"documents","document_lifecycle_transitions","14","Configuration","Must always contain seed data","Configuration","READ_ONLY","True"
"documents","document_numbering","8","Configuration","Must always contain seed data","Configuration","QUERIED","True"
"documents","document_retention_rules","27","Configuration","Must always contain seed data","Configuration","READ_ONLY","True"
"documents","document_signature_types","9","Reference Data","Must always contain seed data","Lookup","READ_ONLY","True"
"documents","document_signatures","2","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","False"
"documents","document_types","28","Reference Data","Must always contain seed data","Lookup","QUERIED","True"
"documents","document_verification_log","1","Logging","Runtime-generated only","History","INSERT_ONLY","False"
"documents","document_versions","36","Operational / Transactional","May contain seed data (scenario/demo only)","History","QUERIED","True"
"documents","document_watermark_config","7","Configuration","Must always contain seed data","Configuration","READ_ONLY","True"
"documents","documents","1062","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"documents","generated_documents","12","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","INSERT_ONLY","True"
"documents","templates","25","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"forms","form_definitions","9","Configuration","Must always contain seed data","Configuration","READ_ONLY","True"
"forms","form_instances","24","Operational / Transactional","May contain seed data (scenario/demo only)","Configuration","QUERIED","False"
"integration","data_sync_jobs","0","Integration","May contain seed data","Integration","SEED_ONLY","False"
"integration","event_bus_config","0","Integration","May contain seed data","Integration","UNUSED","False"
"integration","event_outbox","30","Integration","Runtime-generated only","Queue","READ_ONLY","False"
"integration","event_subscriptions","0","Integration","May contain seed data","Integration","UNUSED","False"
"integration","external_systems","0","Integration","May contain seed data","Integration","UNUSED","False"
"integration","integration_credentials","0","Integration","May contain seed data","Integration","UNUSED","False"
"integration","integration_failures","0","Logging","Runtime-generated only","Audit","SEED_ONLY","False"
"integration","integration_logs","0","Logging","Runtime-generated only","Audit","READ_ONLY","False"
"integration","retry_queue","0","Integration","Runtime-generated only","Queue","SEED_ONLY","False"
"integration","webhooks","0","Integration","May contain seed data","Integration","SEED_ONLY","False"
"monitoring","compliance_reviews","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"monitoring","corrective_actions","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"monitoring","deviations","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"monitoring","inspection_reports","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"monitoring","inspections","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"monitoring","monitoring_findings","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"monitoring","monitoring_plans","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"monitoring","monitoring_visits","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"monitoring","preventive_actions","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"monitoring","protocol_violations","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"ops","seed_tracker","78","Other","Runtime-generated only","System","SEED_ONLY","False"
"public","perf_results","0","Temporary / Cache","Runtime-generated only","Temporary","UNUSED","False"
"public","pgmigrations","0","Other","Runtime-generated only","Temporary","SEED_ONLY","False"
"public","v_chair_id","1","Temporary / Cache","Runtime-generated only","Temporary","SEED_ONLY","False"
"public","v_inst_codes","1","Temporary / Cache","Runtime-generated only","Temporary","UNUSED","False"
"public","v_user_id","1","Temporary / Cache","Runtime-generated only","Temporary","SEED_ONLY","False"
"reference","academic_titles","11","Reference Data","Must always contain seed data","Lookup","QUERIED","True"
"reference","application_statuses","14","Reference Data","Must always contain seed data","Lookup","READ_ONLY","True"
"reference","committee_decision_types","5","Reference Data","Must always contain seed data","Lookup","SEED_ONLY","True"
"reference","document_statuses","4","Reference Data","Must always contain seed data","Lookup","SEED_ONLY","True"
"reference","institutions_registry","0","Reference Data","Must always contain seed data","Reference","QUERIED","False"
"reference","licenses_registry","0","Reference Data","Must always contain seed data","Reference","READ_ONLY","False"
"reference","lookup_categories","3","Reference Data","Must always contain seed data","Lookup","QUERIED","True"
"reference","lookup_values","11","Reference Data","Must always contain seed data","Lookup","QUERIED","True"
"reference","notification_statuses","7","Reference Data","Must always contain seed data","Lookup","SEED_ONLY","True"
"reference","priority_levels","4","Reference Data","Must always contain seed data","Lookup","SEED_ONLY","True"
"reference","professions_registry","10","Reference Data","Must always contain seed data","Reference","QUERIED","False"
"reference","review_statuses","4","Reference Data","Must always contain seed data","Lookup","SEED_ONLY","True"
"reference","risk_levels","3","Reference Data","Must always contain seed data","Lookup","SEED_ONLY","True"
"reference","status_types","5","Reference Data","Must always contain seed data","Lookup","SEED_ONLY","True"
"reference","vote_types","4","Reference Data","Must always contain seed data","Lookup","SEED_ONLY","True"
"reference","workflow_statuses","3","Reference Data","Must always contain seed data","Lookup","SEED_ONLY","True"
"reporting","analytics_snapshots","0","Reporting","Runtime-generated only","Cache","SEED_ONLY","True"
"reporting","dashboard_widgets","6","Configuration","Must always contain seed data","Configuration","SEED_ONLY","True"
"reporting","kpi_results","0","Reporting","Runtime-generated only","Operational","SEED_ONLY","True"
"reporting","report_definitions","5","Reference Data","Must always contain seed data","Lookup","SEED_ONLY","True"
"reporting","report_executions","0","Logging","Runtime-generated only","Runtime","SEED_ONLY","False"
"safety","adverse_events","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"safety","corrective_actions","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"safety","mitigation_actions","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"safety","risk_assessments","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"safety","risk_categories","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","READ_ONLY","True"
"safety","risk_incidents","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","False"
"safety","risk_mitigations","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","False"
"safety","risk_register","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","QUERIED","True"
"safety","safety_committee_reviews","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"safety","safety_followups","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","SEED_ONLY","True"
"safety","safety_reports","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","READ_ONLY","True"
"safety","serious_adverse_events","0","Operational / Transactional","May contain seed data (scenario/demo only)","Operational","READ_ONLY","True"
"security","access_policies","7","Security","Runtime-generated only","Operational","SEED_ONLY","True"
"security","api_keys","9","Security","Runtime-generated only","Transactional","SEED_ONLY","True"
"security","approval_authorities","0","Security","Runtime-generated only","Bridge","UNUSED","False"
"security","approval_limits","0","Security","Runtime-generated only","Bridge","UNUSED","False"
"security","certificate_revocations","0","Security","Runtime-generated only","Transactional","UNUSED","False"
"security","departments","127","Master Data","May contain seed data","Transactional","QUERIED","True"
"security","digital_certificates","0","Security","Runtime-generated only","Operational","UNUSED","False"
"security","email_verification_tokens","13","Security","Runtime-generated only","Operational","QUERIED","False"
"security","institution_types","4","Reference Data","Must always contain seed data","Lookup","QUERIED","True"
"security","institutions","41","Master Data","May contain seed data","Transactional","QUERIED","True"
"security","login_audit","488","Audit","Must never be seeded","History","QUERIED","True"
"security","password_history","95","Historical","Runtime-generated only","History","QUERIED","True"
"security","password_reset_tokens","0","Security","Runtime-generated only","Transactional","QUERIED","False"
"security","permissions","32","Security","Must always contain seed data","Operational","QUERIED","True"
"security","policy_conditions","0","Security","Runtime-generated only","Bridge","UNUSED","False"
"security","policy_rules","0","Security","Runtime-generated only","Bridge","UNUSED","False"
"security","responsibility_types","6","Reference Data","Must always contain seed data","Lookup","READ_ONLY","False"
"security","role_delegations","0","Security","Runtime-generated only","Bridge","UNUSED","False"
"security","role_permissions","114","Security","Must always contain seed data","Lookup","QUERIED","True"
"security","roles","7","Security","Must always contain seed data","Operational","QUERIED","True"
"security","security_events","0","Logging","Runtime-generated only","Runtime","INSERT_ONLY","False"
"security","segregation_rules","0","Security","Runtime-generated only","Bridge","UNUSED","False"
"security","sessions","372","Security","Runtime-generated only","Transactional","QUERIED","True"
"security","user_profiles","101","Master Data","May contain seed data","Transactional","QUERIED","True"
"security","user_responsibilities","16","Security","Runtime-generated only","Bridge","QUERIED","True"
"security","user_roles","107","Security","Runtime-generated only","Lookup","QUERIED","True"
"security","users","106","Master Data","May contain seed data","Transactional","QUERIED","True"
"system","audit_config","6","Configuration","Must always contain seed data","Configuration","SEED_ONLY","False"
"system","audit_log","0","Audit","Must never be seeded","Audit","SEED_ONLY","True"
"system","business_rules","0","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"system","email_config","1","Configuration","May contain seed data (env-specific, usually runtime)","Configuration","QUERIED","False"
"system","feature_flags","0","Configuration","May contain seed data (env-specific, usually runtime)","Configuration","UNUSED","False"
"system","maintenance_log","0","Logging","Runtime-generated only","Audit","UNUSED","False"
"system","push_config","0","Configuration","May contain seed data (env-specific, usually runtime)","Configuration","QUERIED","False"
"system","rule_actions","0","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"system","rule_conditions","0","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"system","rule_executions","0","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"system","rule_versions","0","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"system","saved_searches","1","Configuration","Must always contain seed data","Runtime","QUERIED","False"
"system","search_audit","0","Logging","Runtime-generated only","Runtime","SEED_ONLY","False"
"system","search_indexes","0","Temporary / Cache","Runtime-generated only","Runtime","SEED_ONLY","False"
"system","sms_config","1","Configuration","May contain seed data (env-specific, usually runtime)","Configuration","QUERIED","False"
"system","system_config","11","Configuration","May contain seed data (env-specific, usually runtime)","Configuration","QUERIED","False"
"templates","categories","12","Configuration","Must always contain seed data","Operational","SEED_ONLY","False"
"templates","event_template_mapping","0","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"templates","template_approval_workflow","0","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"templates","template_localizations","0","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"templates","template_outputs","0","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"templates","template_package_members","0","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"templates","template_packages","0","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"templates","template_partials","5","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"templates","template_render_history","0","Historical","Runtime-generated only","History","UNUSED","False"
"templates","template_render_jobs","0","Operational / Transactional","May contain seed data (scenario/demo only)","Configuration","UNUSED","False"
"templates","template_usage_statistics","0","Reporting","May contain seed data","Configuration","UNUSED","False"
"templates","template_validation_tests","0","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"templates","template_variables","44","Configuration","Must always contain seed data","Configuration","UNUSED","False"
"templates","template_version_audit","4","Historical","Runtime-generated only","History","UNUSED","False"
"templates","template_versions","13","Historical","Runtime-generated only","History","SEED_ONLY","False"
"templates","templates","12","Configuration","Must always contain seed data","Operational","SEED_ONLY","False"
"workflow","workflow_actions","489","Workflow","Runtime-generated only","Runtime","INSERT_ONLY","True"
"workflow","workflow_comments","0","Operational / Transactional","May contain seed data (scenario/demo only)","Transactional","SEED_ONLY","False"
"workflow","workflow_escalations","0","Workflow","Runtime-generated only","Runtime","SEED_ONLY","False"
"workflow","workflow_events","0","Workflow","Runtime-generated only","Runtime","SEED_ONLY","False"
"workflow","workflow_history","30","Historical","Runtime-generated only","History","QUERIED","False"
"workflow","workflow_instances","98","Workflow","Runtime-generated only","Runtime","QUERIED","True"
"workflow","workflow_schedulers","0","Workflow","Runtime-generated only","Runtime","SEED_ONLY","False"
"workflow","workflow_sla","0","Configuration","Must always contain seed data","Operational","READ_ONLY","True"
"workflow","workflow_states","14","Workflow","Must always contain seed data","Operational","READ_ONLY","True"
"workflow","workflow_tasks","0","Workflow","Runtime-generated only","Runtime","SEED_ONLY","False"
"workflow","workflow_transitions","32","Workflow","Must always contain seed data","Operational","READ_ONLY","True"
"workflow","workflow_triggers","0","Workflow","Runtime-generated only","Runtime","SEED_ONLY","False"
"workflow","workflow_variables","0","Configuration","Must always contain seed data","Operational","SEED_ONLY","True"
"workflow","workflows","1","Workflow","Must always contain seed data","Transactional","READ_ONLY","True"
