Section,Claim,Evidence Type,Source,Location,Status,Confidence
16-Reporting,ReportsPage exists,File Analysis,frontend/src/pages/ReportsPage.tsx,frontend/src/pages/,Verified,High
16-Reporting,AdminDashboard exists,File Analysis,frontend/src/pages/AdminDashboard.tsx,frontend/src/pages/,Verified,High
16-Reporting,reporting schema empty,Schema Analysis,reporting.* tables have no seed data,backend/seed/*,Verified,High
17-Auditability,audit.audit_log with full fields,Schema Analysis,audit.audit_log columns: user_id action entity_type entity_id old_values new_values,audit schema,Verified,High
17-Auditability,fn_log_audit() trigger function,Code Analysis,system.fn_log_audit() defined in canonical functions,database/canonical/functions/,Verified,High
17-Auditability,Triggers on all DML tables,Seed Analysis,seed 13-audit-triggers.sql,backend/seed/,Verified,High
18-Operational Reduction,Qualitative comparison (no invented numbers),Analysis,N/A,N/A,Verified,High
19-Capability Matrix,16 domain areas assessed,Multi-source Analysis,All source code + database + frontend,Multiple locations,Verified,High
20-Limitations,No production deployment,Code Analysis,backend/src/index.ts (dev only),backend/src/index.ts,Verified,High
20-Limitations,No real users,Seed Analysis,All user data from seeds,backend/seed/,Verified,High
20-Limitations,Port mismatch (tests=3000 vs dev=8080),Code Analysis,AGENTS.md documents this,AGENTS.md,Verified,High
20-Limitations,.env in Git,File Analysis,backend/.env exists in repository,backend/.env,Verified,High
21-Future Evolution,8 implemented components verified,Cross-reference,Sections 3-4 evidence,Multiple locations,Verified,High
21-Future Evolution,6 approved architecture items documented,Documentation Analysis,AGENTS.md + ADRs,docs/,Verified,High
22-Governance,36 ADR files counted,File Count,docs/architecture/adr/*,docs/architecture/adr/,Verified,High
22-Governance,7 governance docs counted,File Count,docs/governance/*,docs/governance/,Verified,High
22-Governance,Governance is documentation layer (not runtime),Code Analysis,registries exist but no runtime enforcement visible,multiple,Verified,High
23-Statistics,All 25 metrics traced to sources,Cross-reference,All source files,Multiple locations,Verified,High
24-Maturity,Level 2 - Managed/Repeatable,Assessment,All evidence from sections 1-23,Multiple locations,Verified,High
25-Scenario,14-step end-to-end scenario mapped,Cross-reference,All source code + database schemas,Multiple locations,Verified,High
25-Scenario,8 unsupported stages identified,Code Analysis,No implementations found,backend/ + frontend/,Verified,High
26-Diagrams,3 Mermaid diagrams provided,Generated,Report content,SYSTEM-COMPREHENSIVE-REPORT.md,Generated,High
27-Conclusion,6 value propositions linked to features,Cross-reference,Sections 5-6 evidence,Multiple locations,Verified,High
27-Conclusion,7 priority items for completion,Cross-reference,Section 20 limitations,Multiple locations,Verified,High
