Metric,Value,Source,Verified,Notes
"Backend Dependencies (Production),22,backend/package.json,Yes,""Express 5, jose, argon2, pg, pino, etc."""
"Backend Dependencies (Dev),17,backend/package.json,Yes,""Vitest, supertest, orval, tsx, etc."""
"Workflow Definitions,2,Seed 05-workflow.sql,Yes,""APP_REVIEW_V1, ACCREDITATION_CYCLE_V1"""
"Workflow States,16,Seeds 36-workflow-add-states.sql,Yes,""DRAFT through ARCHIVED"""
"Roles (System),8,Seed 00-roles.sql,Yes,""SUPER_ADMIN, ETHICS_ADMIN, RESEARCHER, COMMITTEE_CHAIR, COMMITTEE_MEMBER, REVIEWER, INSTITUTION_ADMIN, PUBLIC"""
"ADR Files,36,docs/architecture/adr/*,Yes,""Including board submission packages"""
"Governance Docs,7,docs/governance/*,Yes,""PROJECT_CHARTER through ENGINEERING_DOCUMENTATION_STANDARD"""
"CI Pipeline Stages,5,.github/workflows/ci.yml,Yes,""validate, backend, frontend, e2e, docker"""
"Users in DB (Admin),23,Seeds 01-10,Yes,""Admin/system users"""
"Users in DB (Yemen),104,Seed 51-yemen-users.sql,Yes,""Scenario data"""
"Users in DB (Total),127,Seeds,Yes,""23 admin + 104 Yemen"""
"Projects in DB,~885,Seed 52-yemen-projects.sql,Yes,""Yemen scenario data"""
"Applications in DB,~1613,Seed 53-yemen-applications.sql,Yes,""Yemen scenario data"""
"Documents in DB,~1516,Seed 54-yemen-documents.sql,Yes,""Yemen scenario data"""
"Committees in DB,7,Seeds 03-committees.sql,Yes,""Seed data"""
"Reference Institutions,28,Seed 10-yemen-institutions.sql,Yes,""Yemen institutions"""
"Notification Templates,13,Seed 19-additional-communication.sql,Yes,""Seed data"""
"Workflow Transitions (Base),3,Seed 05-workflow.sql,Yes,""Initial transitions"""
"Workflow Transitions (Additions),18,Seed 37-workflow-add-transitions.sql,Yes,""Extended transitions"""
"Workflow Transitions (Appeal/Renewal),14,Seed 100-add-workflow-appeal-renewal-transitions.sql,Yes,""Appeal and renewal transitions"""
"Backend Test Files,25,backend/src/test/*,Yes,""Vitest unit tests"""
"Backend Port,8080,AGENTS.md + backend/src/index.ts,Yes,""NOT 3000"""
"Node.js Version,22+,AGENTS.md + package.json,Yes,""Required minimum"""
"PostgreSQL Version,18+,AGENTS.md,Yes,""postgres:18-alpine in Docker"""
"OpenAPI Version,3.1.0,backend/openapi/openapi.yaml,Yes,""Latest OpenAPI spec"""
"TypeScript Version (Frontend),~6.0,frontend/package.json,Yes,""typescript ~6.0.2"""
"TypeScript Version (Backend),^6.0,backend/package.json,Yes,""typescript ^6.0.3"""
"React Version,19.2,frontend/package.json,Yes,""react ^19.2.6"""
"Express Version,5.2,backend/package.json,Yes,""express ^5.2.1"""
"Vite Version,8.0,frontend/package.json,Yes,""vite ^8.0.12"""
"Tailwind CSS Version,4.3,frontend/package.json,Yes,""tailwindcss ^4.3.0"""
"Vitest Version,4.1,package.json (root),Yes,""vitest ^4.1.8"""
"Playwright Version,1.61,frontend/package.json,Yes,""@playwright/test ^1.61.1"""
"JWT Library,jose 6.2,backend/package.json,Yes,""jose ^6.2.3"""
"Password Hashing,argon2 0.44,backend/package.json,Yes,""argon2 ^0.44.0"""
"Logging,pino 10.0,backend/package.json,Yes,""pino ^10.0.0"""
"Metrics,prom-client 15.1,backend/package.json,Yes,""prom-client ^15.1.3"""
"Database Client,pg 8.21,backend/package.json,Yes,""pg ^8.21.0"""
"Helmet (Security),8.2,backend/package.json,Yes,""helmet ^8.2.0"""
"Rate Limiting,8.5,backend/package.json,Yes,""express-rate-limit ^8.5.2"""
"i18next,26.3,frontend/package.json,Yes,""i18next ^26.3.1"""
"React Query (TanStack),5.101,frontend/package.json,Yes,""@tanstack/react-query ^5.101.0"""
"React Hook Form,7.77,frontend/package.json,Yes,""react-hook-form ^7.77.0"""
"Zod (Validation),4.4,frontend + backend package.json,Yes,""zod ^4.4.3"""
"Recharts (Charts),2.15,frontend/package.json,Yes,""recharts ^2.15.3"""
"Axios (HTTP),1.17,frontend package.json,Yes,""axios ^1.17.0"""
