"Schema","Table","RowCount","Category","Phase","Status","ReadBy","WriteBy","Seeds"
"committee","consent_template_versions","0","Historical","RUNTIME","RUNTIME_OK (expected empty)","ApplicationConsentRepository;ConsentVersionRepository","ConsentVersionRepository","29-informed-consent.sql"
"committee","consent_templates","0","Configuration","INSTALLATION","MISSING_DATA","ApplicationConsentRepository;ConsentTemplateRepository;ConsentVersionRepository","ConsentTemplateRepository","29-informed-consent.sql"
"committee","ethics_reviews","67","Operational / Transactional","COMMITTEE_WORKFLOW","SEEDED_UNUSED (populated, never touched)","","","53-yemen-applications.sql;96-realistic-data.sql"
"committee","ethics_risk_assessments","0","Operational / Transactional","INSTALLATION","MISSING_DATA","EthicsRiskRepository","EthicsRiskRepository","28-ethics-risk-assessment.sql"
"committee","ethics_risk_items","0","Operational / Transactional","INSTALLATION","MISSING_DATA","EthicsRiskRepository","EthicsRiskRepository","28-ethics-risk-assessment.sql"
"committee","meeting_agendas","1","Operational / Transactional","COMMITTEE_WORKFLOW","SEEDED_AND_READ","MeetingRepository","MeetingRepository","09-meetings-etc.sql;95-pilot-dataset.sql"
"committee","meeting_minutes","0","Operational / Transactional","COMMITTEE_WORKFLOW","MISSING_DATA","MeetingRepository","MeetingRepository","09-meetings-etc.sql"
"committee","member_conflicts","0","Operational / Transactional","INSTALLATION","MISSING_DATA","MemberRepository","MemberRepository",""
"committee","member_qualifications","0","Operational / Transactional","INSTALLATION","MISSING_DATA","MemberRepository","MemberRepository",""
"committee","member_terms","0","Operational / Transactional","INSTALLATION","MISSING_DATA","MemberRepository","MemberRepository",""
"committee","quorum_logs","0","Operational / Transactional","COMMITTEE_WORKFLOW","MISSING_DATA","","","20-remaining-core-data.sql;96-realistic-data.sql"
"committee","review_answers","0","Operational / Transactional","COMMITTEE_WORKFLOW","MISSING_DATA","ReviewRepository","ReviewRepository","08-reviews.sql"
"committee","review_assignments","286","Operational / Transactional","COMMITTEE_WORKFLOW","SEEDED_AND_READ","AdminRepository;ApplicationConsentRepository;ReportingRepository;ReviewRepository","ReviewRepository","08-reviews.sql;29-informed-consent.sql;53-yemen-applications.sql;95-pilot-dataset.sql;96-realistic-data.sql"
"committee","review_comments","3","Operational / Transactional","COMMITTEE_WORKFLOW","SEEDED_AND_READ","ReviewRepository","ReviewRepository","08-reviews.sql"
"committee","review_conflicts","0","Operational / Transactional","COMMITTEE_WORKFLOW","MISSING_DATA","","","20-remaining-core-data.sql"
"committee","review_forms","18","Configuration","COMMITTEE_WORKFLOW","SEEDED_AND_READ","ReviewRepository","ReviewRepository","08-reviews.sql;95-pilot-dataset.sql"
"committee","review_questions","54","Configuration","COMMITTEE_WORKFLOW","SEEDED_AND_READ","ReviewRepository","ReviewRepository","08-reviews.sql;95-pilot-dataset.sql"
"committee","review_recommendations","3","Operational / Transactional","COMMITTEE_WORKFLOW","SEEDED_AND_READ","ReviewRepository","ReviewRepository","08-reviews.sql"
"committee","review_scores","0","Operational / Transactional","COMMITTEE_WORKFLOW","MISSING_DATA","ReviewRepository","ReviewRepository","20-remaining-core-data.sql"
"committee","scientific_reviews","73","Operational / Transactional","COMMITTEE_WORKFLOW","SEEDED_UNUSED (populated, never touched)","","","53-yemen-applications.sql;96-realistic-data.sql"
"committee","votes","2","Operational / Transactional","COMMITTEE_WORKFLOW","SEEDED_AND_READ","VotingRepository","VotingRepository","09-meetings-etc.sql"
"committee","voting_sessions","1","Operational / Transactional","INSTALLATION","SEEDED_AND_READ","VotingRepository","VotingRepository","09-meetings-etc.sql"
"communication","announcements","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","19-additional-communication.sql"
"communication","message_attachments","0","Operational / Transactional","INSTALLATION","MISSING_DATA","CommunicationRepository","CommunicationRepository",""
"communication","message_recipients","36","Operational / Transactional","INSTALLATION","SEEDED_AND_READ","CommunicationRepository","CommunicationRepository","09-meetings-etc.sql;90-gen-test-data.sql;96-realistic-data.sql"
"communication","messages","18","Operational / Transactional","INSTALLATION","SEEDED_AND_READ","CommunicationRepository","CommunicationRepository","09-meetings-etc.sql;90-gen-test-data.sql;96-realistic-data.sql"
"communication","notification_channels","5","Configuration","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","19-additional-communication.sql"
"communication","notification_logs","12","Logging","RUNTIME","WRITE_ONLY (runtime target)","","NotificationRepository","19-additional-communication.sql"
"communication","notification_templates","8","Configuration","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","19-additional-communication.sql"
"communication","notifications","84","Operational / Transactional","INSTALLATION","SEEDED_AND_READ","CommunicationRepository;NotificationRepository","CommunicationRepository;NotificationRepository","09-meetings-etc.sql;90-gen-test-data.sql;96-realistic-data.sql"
"communication","user_notification_preferences","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"core","amendment_requests","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","20-remaining-core-data.sql"
"core","application_amendments","7","Operational / Transactional","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","20-remaining-core-data.sql;53-yemen-applications.sql"
"core","application_checklists","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","",""
"core","application_consents","0","Operational / Transactional","INSTALLATION","MISSING_DATA","ApplicationConsentRepository;ConsentVersionRepository","ApplicationConsentRepository","29-informed-consent.sql"
"core","application_history","459","Historical","RUNTIME","RUNTIME_ACCUMULATED (unread)","","","53-yemen-applications.sql"
"core","application_sections","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","",""
"core","application_validations","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","",""
"core","application_versions","34","Historical","RUNTIME","RUNTIME_ACCUMULATED (unread)","","",""
"core","applications","112","Master Data","INSTALLATION","SEEDED_AND_READ","AdminRepository;ApplicationRepository;CertificateRepository;ConditionRepository;EthicsRiskRepository;FormInstanceRepository;MeetingRepository;ProjectRepository;ReportingRepository;ReviewRepository;SafetyRepository;VotingRepository;WorkflowRepository","ApplicationRepository","06-projects-apps.sql;21-committee-expansion.sql;53-yemen-applications.sql;90-gen-test-data.sql;95-pilot-dataset.sql;96-realistic-data.sql"
"core","closure_requests","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","20-remaining-core-data.sql"
"core","project_attachments","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","",""
"core","project_funding_sources","93","Operational / Transactional","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","20-remaining-core-data.sql;21-committee-expansion.sql;52-yemen-projects.sql"
"core","project_keywords","372","Operational / Transactional","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","20-remaining-core-data.sql;21-committee-expansion.sql;52-yemen-projects.sql"
"core","project_site_investigators","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","20-remaining-core-data.sql"
"core","project_sites","93","Operational / Transactional","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","20-remaining-core-data.sql;21-committee-expansion.sql;52-yemen-projects.sql"
"core","project_status_history","93","Historical","RUNTIME","RUNTIME_ACCUMULATED (unread)","","","52-yemen-projects.sql"
"core","project_tags","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","20-remaining-core-data.sql"
"core","project_team_members","141","Operational / Transactional","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","20-remaining-core-data.sql;21-committee-expansion.sql;52-yemen-projects.sql"
"core","project_versions","0","Historical","RUNTIME","RUNTIME_OK (expected empty)","","",""
"core","projects","121","Master Data","INSTALLATION","SEEDED_AND_READ","AdminRepository;ApplicationRepository;CertificateRepository;EthicsRiskRepository;FormInstanceRepository;ProjectRepository;ReportingRepository;ReviewRepository;SafetyRepository;VotingRepository","ProjectRepository","06-projects-apps.sql;21-committee-expansion.sql;52-yemen-projects.sql;90-gen-test-data.sql;95-pilot-dataset.sql;96-realistic-data.sql"
"core","renewal_requests","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","20-remaining-core-data.sql"
"core","research_categories","8","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"core","research_population_links","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","",""
"core","risk_classifications","4","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"core","vulnerable_populations","6","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"documents","approval_certificate_documents","0","Operational / Transactional","INSTALLATION","MISSING_DATA","CertificateRepository","CertificateRepository",""
"documents","approval_certificates","57","Operational / Transactional","INSTALLATION","SEEDED_AND_READ","CertificateRepository","CertificateRepository","54-yemen-documents.sql"
"documents","certificate_verification_log","0","Logging","RUNTIME","RUNTIME_OK (expected empty)","","CertificateRepository",""
"documents","document_access","3956","Operational / Transactional","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","20-remaining-core-data.sql;54-yemen-documents.sql"
"documents","document_approvals","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","58-gate0-document-lifecycle.sql"
"documents","document_audit","12","Audit","RUNTIME","SEEDED_AND_READ","DocumentLifecycleRepository;DocumentRenderRepository","DocumentRenderRepository;DocumentRepository","58-gate0-document-lifecycle.sql"
"documents","document_classifications","4","Reference Data","INSTALLATION","SEEDED_AND_READ","DocumentRepository","",""
"documents","document_disposal_logs","0","Logging","RUNTIME","RUNTIME_OK (expected empty)","","",""
"documents","document_lifecycle_states","10","Configuration","INSTALLATION","SEEDED_AND_READ","DocumentLifecycleRepository;DocumentRenderRepository","","58-gate0-document-lifecycle.sql"
"documents","document_lifecycle_transitions","14","Configuration","INSTALLATION","SEEDED_AND_READ","DocumentLifecycleRepository","","58-gate0-document-lifecycle.sql"
"documents","document_numbering","8","Configuration","INSTALLATION","SEEDED_AND_READ","DocumentNumberingRepository","DocumentNumberingRepository","55-forms-library.sql;64-application-registration.sql"
"documents","document_retention_rules","27","Configuration","INSTALLATION","SEEDED_AND_READ","DocumentRepository","","63-document-retention-rules.sql"
"documents","document_signature_types","9","Reference Data","INSTALLATION","SEEDED_AND_READ","DocumentRenderRepository","","58-gate0-document-lifecycle.sql;60-gate0-document-signatures.sql"
"documents","document_signatures","2","Operational / Transactional","INSTALLATION","SEEDED_AND_READ","DocumentRenderRepository;DocumentRepository;MeetingRepository","DocumentRenderRepository;DocumentRepository",""
"documents","document_types","28","Reference Data","INSTALLATION","SEEDED_AND_READ","DocumentRenderRepository;DocumentRepository","","04-documents.sql;41-application-conditions.sql;45-certificates.sql;54-yemen-documents.sql;55-forms-library.sql;64-application-registration.sql"
"documents","document_verification_log","1","Logging","RUNTIME","WRITE_ONLY (runtime target)","","DocumentRenderRepository",""
"documents","document_versions","36","Operational / Transactional","INSTALLATION","SEEDED_AND_READ","DocumentRenderRepository","DocumentRenderRepository","20-remaining-core-data.sql;54-yemen-documents.sql"
"documents","document_watermark_config","7","Configuration","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","58-gate0-document-lifecycle.sql"
"documents","documents","1062","Operational / Transactional","INSTALLATION","SEEDED_AND_READ","ConditionRepository;DocumentLifecycleRepository;DocumentRenderRepository;DocumentRepository;MeetingRepository","DocumentRenderRepository;DocumentRepository","09-meetings-etc.sql;54-yemen-documents.sql;96-realistic-data.sql"
"documents","generated_documents","12","Operational / Transactional","INSTALLATION","WRITE_ONLY (runtime target)","","DocumentRenderRepository","20-remaining-core-data.sql"
"documents","templates","25","Operational / Transactional","INSTALLATION","SEEDED_AND_READ","CertificateRepository;DocumentRenderRepository;DocumentTemplateRepository","DocumentTemplateRepository","20-remaining-core-data.sql;45-certificates.sql;56-forms-library-templates.sql;58-official-templates-en.sql;64-application-registration.sql;96-realistic-data.sql"
"forms","form_definitions","9","Configuration","INSTALLATION","SEEDED_AND_READ","FormDefinitionRepository;FormInstanceRepository","","55-forms-library.sql;64-application-registration.sql"
"forms","form_instances","24","Operational / Transactional","INSTALLATION","SEEDED_AND_READ","FormDefinitionRepository;FormInstanceRepository","FormInstanceRepository",""
"integration","data_sync_jobs","0","Integration","RUNTIME","RUNTIME_OK (expected empty)","","",""
"integration","event_bus_config","0","Integration","RUNTIME","RUNTIME_OK (expected empty)","","",""
"integration","event_outbox","30","Integration","RUNTIME","SEEDED_AND_READ","IntegrationRepository","",""
"integration","event_subscriptions","0","Integration","RUNTIME","RUNTIME_OK (expected empty)","","",""
"integration","external_systems","0","Integration","RUNTIME","RUNTIME_OK (expected empty)","","",""
"integration","integration_credentials","0","Integration","RUNTIME","RUNTIME_OK (expected empty)","","",""
"integration","integration_failures","0","Logging","RUNTIME","RUNTIME_OK (expected empty)","","",""
"integration","integration_logs","0","Logging","RUNTIME","RUNTIME_OK (expected empty)","IntegrationRepository","",""
"integration","retry_queue","0","Integration","RUNTIME","RUNTIME_OK (expected empty)","","",""
"integration","webhooks","0","Integration","RUNTIME","RUNTIME_OK (expected empty)","","",""
"monitoring","compliance_reviews","0","Operational / Transactional","COMMITTEE_WORKFLOW","MISSING_DATA","","","18-monitoring-data.sql"
"monitoring","corrective_actions","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","18-monitoring-data.sql"
"monitoring","deviations","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","18-monitoring-data.sql"
"monitoring","inspection_reports","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","18-monitoring-data.sql"
"monitoring","inspections","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","18-monitoring-data.sql"
"monitoring","monitoring_findings","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","18-monitoring-data.sql"
"monitoring","monitoring_plans","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","18-monitoring-data.sql"
"monitoring","monitoring_visits","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","18-monitoring-data.sql"
"monitoring","preventive_actions","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","18-monitoring-data.sql"
"monitoring","protocol_violations","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","18-monitoring-data.sql"
"ops","seed_tracker","78","Other","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"public","perf_results","0","Temporary / Cache","INSTALLATION","MISSING_DATA","","",""
"public","pgmigrations","0","Other","INSTALLATION","MISSING_DATA","","",""
"public","v_chair_id","1","Temporary / Cache","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"public","v_inst_codes","1","Temporary / Cache","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"public","v_user_id","1","Temporary / Cache","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"reference","academic_titles","11","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","26-reference-data-crud.sql"
"reference","application_statuses","14","Reference Data","INSTALLATION","SEEDED_AND_READ","ApplicationRepository;ProjectRepository","","01-reference.sql;35-reference-add-statuses.sql"
"reference","committee_decision_types","5","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","01-reference.sql"
"reference","document_statuses","4","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","01-reference.sql"
"reference","institutions_registry","0","Reference Data","INSTALLATION","MISSING_DATA","","",""
"reference","licenses_registry","0","Reference Data","INSTALLATION","MISSING_DATA","","",""
"reference","lookup_categories","3","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","01-reference.sql"
"reference","lookup_values","11","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","01-reference.sql"
"reference","notification_statuses","7","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","20-remaining-core-data.sql"
"reference","priority_levels","4","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","01-reference.sql"
"reference","professions_registry","10","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"reference","review_statuses","4","Reference Data","COMMITTEE_WORKFLOW","SEEDED_UNUSED (populated, never touched)","","","01-reference.sql"
"reference","risk_levels","3","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","01-reference.sql"
"reference","status_types","5","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","20-remaining-core-data.sql"
"reference","vote_types","4","Reference Data","COMMITTEE_WORKFLOW","SEEDED_UNUSED (populated, never touched)","","","01-reference.sql"
"reference","workflow_statuses","3","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","01-reference.sql"
"reporting","analytics_snapshots","0","Reporting","RUNTIME","RUNTIME_OK (expected empty)","","","20-remaining-core-data.sql"
"reporting","dashboard_widgets","6","Configuration","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","20-remaining-core-data.sql"
"reporting","kpi_results","0","Reporting","RUNTIME","RUNTIME_OK (expected empty)","","","20-remaining-core-data.sql"
"reporting","report_definitions","5","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","20-remaining-core-data.sql"
"reporting","report_executions","0","Logging","RUNTIME","RUNTIME_OK (expected empty)","","",""
"safety","adverse_events","0","Operational / Transactional","INSTALLATION","MISSING_DATA","SafetyRepository","SafetyRepository","17-safety-data.sql;90-gen-test-data.sql;95-pilot-dataset.sql;96-realistic-data.sql"
"safety","corrective_actions","0","Operational / Transactional","INSTALLATION","MISSING_DATA","SafetyRepository","SafetyRepository","90-gen-test-data.sql"
"safety","mitigation_actions","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","17-safety-data.sql"
"safety","risk_assessments","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","17-safety-data.sql;96-realistic-data.sql"
"safety","risk_categories","0","Operational / Transactional","INSTALLATION","MISSING_DATA","EthicsRiskRepository","","17-safety-data.sql;96-realistic-data.sql"
"safety","risk_incidents","0","Operational / Transactional","INSTALLATION","MISSING_DATA","SafetyRepository","SafetyRepository",""
"safety","risk_mitigations","0","Operational / Transactional","INSTALLATION","MISSING_DATA","SafetyRepository","SafetyRepository",""
"safety","risk_register","0","Operational / Transactional","INSTALLATION","MISSING_DATA","SafetyRepository","SafetyRepository","95-pilot-dataset.sql"
"safety","safety_committee_reviews","0","Operational / Transactional","COMMITTEE_WORKFLOW","MISSING_DATA","","","17-safety-data.sql"
"safety","safety_followups","0","Operational / Transactional","INSTALLATION","MISSING_DATA","","","17-safety-data.sql"
"safety","safety_reports","0","Operational / Transactional","INSTALLATION","MISSING_DATA","SafetyRepository","","17-safety-data.sql"
"safety","serious_adverse_events","0","Operational / Transactional","INSTALLATION","MISSING_DATA","SafetyRepository","","17-safety-data.sql;96-realistic-data.sql"
"security","access_policies","7","Security","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","20-remaining-core-data.sql"
"security","api_keys","9","Security","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","51-yemen-users.sql"
"security","approval_authorities","0","Security","INSTALLATION","MISSING_DATA","","",""
"security","approval_limits","0","Security","INSTALLATION","MISSING_DATA","","",""
"security","certificate_revocations","0","Security","INSTALLATION","MISSING_DATA","","",""
"security","departments","127","Master Data","INSTALLATION","SEEDED_AND_READ","UsersRepository","","01-reference.sql;10-yemen-institutions.sql;50-yemen-institutions.sql;96-realistic-data.sql"
"security","digital_certificates","0","Security","INSTALLATION","MISSING_DATA","","",""
"security","email_verification_tokens","13","Security","INSTALLATION","SEEDED_AND_READ","AuthRepository","AuthRepository",""
"security","institution_types","4","Reference Data","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","","01-reference.sql;95-pilot-dataset.sql;96-realistic-data.sql"
"security","institutions","41","Master Data","INSTALLATION","SEEDED_AND_READ","AccreditationCycleRepository;CertificateRepository;CommitteeRepository;FormInstanceRepository;ProjectRepository;UsersRepository","","01-reference.sql;10-yemen-institutions.sql;50-yemen-institutions.sql;95-pilot-dataset.sql;96-realistic-data.sql"
"security","login_audit","488","Audit","RUNTIME","SEEDED_AND_READ","AuthRepository","AuthRepository","51-yemen-users.sql"
"security","password_history","95","Historical","RUNTIME","SEEDED_AND_READ","AuthRepository","AuthRepository","51-yemen-users.sql"
"security","password_reset_tokens","0","Security","INSTALLATION","MISSING_DATA","AuthRepository","AuthRepository",""
"security","permissions","32","Security","INSTALLATION","SEEDED_AND_READ","AuthorizationRepository;AuthRepository","AuthorizationRepository","02-users.sql"
"security","policy_conditions","0","Security","INSTALLATION","MISSING_DATA","","",""
"security","policy_rules","0","Security","INSTALLATION","MISSING_DATA","","",""
"security","responsibility_types","6","Reference Data","INSTALLATION","SEEDED_AND_READ","UsersRepository","",""
"security","role_delegations","0","Security","INSTALLATION","MISSING_DATA","","",""
"security","role_permissions","114","Security","INSTALLATION","SEEDED_AND_READ","AuthorizationRepository;AuthRepository","AuthorizationRepository","02-users.sql;21-committee-expansion.sql"
"security","roles","7","Security","INSTALLATION","SEEDED_AND_READ","AuthorizationRepository;AuthRepository;CertificateRepository;ConditionRepository;UsersRepository","AuthorizationRepository","02-users.sql"
"security","security_events","0","Logging","RUNTIME","RUNTIME_OK (expected empty)","","AuthRepository",""
"security","segregation_rules","0","Security","INSTALLATION","MISSING_DATA","","",""
"security","sessions","372","Security","INSTALLATION","SEEDED_AND_READ","AuthRepository","AuthRepository","51-yemen-users.sql"
"security","user_profiles","101","Master Data","INSTALLATION","SEEDED_AND_READ","UsersRepository","UsersRepository","20-remaining-core-data.sql;51-yemen-users.sql;96-realistic-data.sql"
"security","user_responsibilities","16","Security","INSTALLATION","SEEDED_AND_READ","UsersRepository","UsersRepository","51-yemen-users.sql"
"security","user_roles","107","Security","INSTALLATION","SEEDED_AND_READ","AuthRepository;CertificateRepository;ConditionRepository;UsersRepository","UsersRepository","02-users.sql;21-committee-expansion.sql;51-yemen-users.sql;95-pilot-dataset.sql;96-realistic-data.sql"
"security","users","106","Master Data","INSTALLATION","SEEDED_AND_READ","AccreditationAssessmentRepository;AccreditationConditionRepository;AccreditationCycleRepository;AccreditationDecisionRepository;AccreditationEvidenceRepository;AdminRepository;ApplicationConsentRepository;ApplicationRepository;AuthRepository;CertificateRepository;CommitteeRepository;CommunicationRepository;ConditionRepository;ConsentReviewRepository;DocumentRenderRepository;DocumentRepository;EthicsRiskRepository;MeetingRepository;MemberRepository;MonitoringRepository;NotificationRepository;ProjectRepository;ReportingRepository;ReviewRepository;SafetyRepository;UsersRepository;VotingRepository;WorkflowRepository","AuthRepository;UsersRepository","02-users.sql;21-committee-expansion.sql;33-fix-register-rls.sql;90-gen-test-data.sql;95-pilot-dataset.sql;96-realistic-data.sql"
"system","audit_config","6","Configuration","INSTALLATION","SEEDED_UNUSED (populated, never touched)","","",""
"system","audit_log","0","Audit","RUNTIME","RUNTIME_OK (expected empty)","","","96-realistic-data.sql"
"system","business_rules","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"system","email_config","1","Configuration","INSTALLATION","SEEDED_AND_READ","EmailConfigRepository","EmailConfigRepository",""
"system","feature_flags","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"system","maintenance_log","0","Logging","RUNTIME","RUNTIME_OK (expected empty)","","",""
"system","push_config","0","Configuration","INSTALLATION","MISSING_DATA","PushConfigRepository","PushConfigRepository",""
"system","rule_actions","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"system","rule_conditions","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"system","rule_executions","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"system","rule_versions","0","Configuration","INSTALLATION","MISSING_DATA","","",""
"system","saved_searches","1","Configuration","INSTALLATION","SEEDED_AND_READ","SystemRepository","SystemRepository",""
"system","search_audit","0","Logging","RUNTIME","RUNTIME_OK (expected empty)","","",""
"system","search_indexes","0","Temporary / Cache","INSTALLATION","MISSING_DATA","","",""
"system","sms_config","1","Configuration","INSTALLATION","SEEDED_AND_READ","SmsConfigRepository","SmsConfigRepository",""
