"Aggregate","Schema","Table","Ownership","Classification"
"A20 Workflow","workflow","workflow_escalations","Workflow Runtime","Runtime-generated"
"A20 Workflow","workflow","workflow_events","Workflow Runtime","Runtime-generated"
"A20 Workflow","workflow","workflow_history","Workflow Runtime","Runtime-generated"
"A20 Workflow","workflow","workflow_instances","Workflow Runtime","Runtime-generated"
"A20 Workflow","workflow","workflow_schedulers","Workflow Runtime","Infrastructure"
"A20 Workflow","workflow","workflow_sla","Workflow Runtime","Infrastructure"
"A20 Workflow","workflow","workflow_states","Workflow Runtime","Infrastructure"
"A20 Workflow","workflow","workflow_tasks","Workflow Runtime","Runtime-generated"
"A20 Workflow","workflow","workflow_transitions","Workflow Runtime","Infrastructure"
"A20 Workflow","workflow","workflow_triggers","Workflow Runtime","Infrastructure"
"A20 Workflow","workflow","workflow_variables","Workflow Runtime","Runtime-generated"
"A20 Workflow","workflow","workflows","Workflow Runtime","Infrastructure"
"A01 Application","core","applications","Research Ethics Governance","Core"
"A01 Application","core","application_versions","Research Ethics Governance","Core"
"A01 Application","core","application_history","Research Ethics Governance","Core"
"A01 Application","core","application_amendments","Research Ethics Governance","Core"
"A01 Application","core","amendment_requests","Research Ethics Governance","Core"
"A01 Application","core","renewal_requests","Research Ethics Governance","Core"
"A01 Application","core","closure_requests","Research Ethics Governance","Core"
"A01 Application","core","application_checklists","Research Ethics Governance","Core"
"A01 Application","core","application_sections","Research Ethics Governance","Core"
"A01 Application","core","application_validations","Research Ethics Governance","Core"
"A01 Application","core","application_consents","Research Ethics Governance","Core"
"A03 ResearchProject","core","projects","Research Governance Authority","Core"
"A03 ResearchProject","core","project_versions","Research Governance Authority","Core"
"A03 ResearchProject","core","project_team_members","Research Governance Authority","Core"
"A03 ResearchProject","core","project_sites","Research Governance Authority","Core"
"A03 ResearchProject","core","project_site_investigators","Research Governance Authority","Core"
"A03 ResearchProject","core","project_funding_sources","Research Governance Authority","Core"
"A03 ResearchProject","core","project_keywords","Research Governance Authority","Core"
"A03 ResearchProject","core","project_tags","Research Governance Authority","Core"
"A03 ResearchProject","core","project_attachments","Research Governance Authority","Core"
"A03 ResearchProject","core","project_status_history","Research Governance Authority","Core"
"A03 ResearchProject","core","research_categories","Research Governance Authority","Core"
"A03 ResearchProject","core","research_population_links","Research Governance Authority","Core"
"A03 ResearchProject","core","risk_classifications","Research Governance Authority","Core"
"A03 ResearchProject","core","vulnerable_populations","Research Governance Authority","Core"
"A04 Committee","committee","committees","Research Ethics Committee","Core"
"A04 Committee","committee","committee_types","Research Ethics Committee","Core"
"A04 Committee","committee","committee_members","Research Ethics Committee","Core"
"A04 Committee","committee","committee_member_roles","Research Ethics Committee","Core"
"A04 Committee","committee","committee_roles","Research Ethics Committee","Core"
"A04 Committee","committee","member_terms","Research Ethics Committee","Core"
"A04 Committee","committee","member_qualifications","Research Ethics Committee","Core"
"A04 Committee","committee","member_conflicts","Research Ethics Committee","Core"
"A05 Meeting","committee","committee_meetings","Research Ethics Committee","Core"
"A05 Meeting","committee","meeting_agendas","Research Ethics Committee","Core"
"A05 Meeting","committee","agenda_items","Research Ethics Committee","Core"
"A05 Meeting","committee","attendance_logs","Research Ethics Committee","Core"
"A05 Meeting","committee","quorum_logs","Research Ethics Committee","Core"
"A05 Meeting","committee","voting_sessions","Research Ethics Committee","Core"
"A05 Meeting","committee","votes","Research Ethics Committee","Core"
"A05 Meeting","committee","meeting_minutes","Research Ethics Committee","Core"
"A06 Review","committee","ethics_reviews","Research Ethics Committee","Core"
"A06 Review","committee","scientific_reviews","Research Ethics Committee","Core"
"A06 Review","committee","review_assignments","Research Ethics Committee","Core"
"A06 Review","committee","review_forms","Research Ethics Committee","Core"
"A06 Review","committee","review_questions","Research Ethics Committee","Core"
"A06 Review","committee","review_answers","Research Ethics Committee","Core"
"A06 Review","committee","review_scores","Research Ethics Committee","Core"
"A06 Review","committee","review_comments","Research Ethics Committee","Core"
"A06 Review","committee","review_recommendations","Research Ethics Committee","Core"
"A06 Review","committee","review_conflicts","Research Ethics Committee","Core"
"A06 Review","committee","consent_review_comments","Research Ethics Committee","Core"
"A02 Condition","committee","application_conditions","Research Ethics Governance","Core"
"A08 Accreditation","committee","accreditation_assessment_items","Research Governance Authority","Supporting"
"A08 Accreditation","committee","accreditation_assessments","Research Governance Authority","Supporting"
"A08 Accreditation","committee","accreditation_conditions","Research Governance Authority","Supporting"
"A08 Accreditation","committee","accreditation_cycle_metrics","Research Governance Authority","Supporting"
"A08 Accreditation","committee","accreditation_cycles","Research Governance Authority","Supporting"
"A08 Accreditation","committee","accreditation_decisions","Research Governance Authority","Supporting"
"A08 Accreditation","committee","accreditation_evidence","Research Governance Authority","Supporting"
"A08 Accreditation","committee","accreditation_standard_versions","Research Governance Authority","Supporting"
"A08 Accreditation","committee","accreditation_standards","Research Governance Authority","Supporting"
"A14 Safety","committee","ethics_risk_assessments","Safety Governance","Supporting"
"A14 Safety","committee","ethics_risk_items","Safety Governance","Supporting"
"A11 Reference","committee","consent_templates","Reference Knowledge / Documentation Stewardship","Reference-data"
"A11 Reference","committee","consent_template_versions","Reference Knowledge / Documentation Stewardship","Reference-data"
"A09 Document","documents","documents","Document Handling","Core"
"A09 Document","documents","document_versions","Document Handling","Core"
"A09 Document","documents","document_access","Document Handling","Core"
"A09 Document","documents","document_approvals","Document Handling","Core"
"A09 Document","documents","document_audit","Document Handling","Core"
"A09 Document","documents","document_classifications","Document Handling","Core"
"A09 Document","documents","document_disposal_logs","Document Handling","Core"
"A09 Document","documents","document_lifecycle_states","Document Handling","Core"
"A09 Document","documents","document_lifecycle_transitions","Document Handling","Core"
"A09 Document","documents","document_numbering","Document Handling","Core"
"A09 Document","documents","document_retention_rules","Document Handling","Core"
"A09 Document","documents","document_types","Document Handling","Core"
"A09 Document","documents","document_watermark_config","Document Handling","Core"
"A09 Document","documents","document_verification_log","Document Handling","Core"
"A07 Approval","documents","approval_certificates","Research Ethics Governance","Core"
"A07 Approval","documents","approval_certificate_documents","Research Ethics Governance","Core"
"A07 Approval","documents","certificate_verification_log","Research Ethics Governance","Core"
"A10 E-Signature","documents","document_signatures","Document Handling","Supporting"
"A10 E-Signature","documents","document_signature_types","Document Handling","Supporting"
"A12 Template","documents","templates","Document Handling","Dead-data"
"A12 Template","documents","generated_documents","Document Handling","Dead-data"
"A18 Identity","security","users","Identity & Access","Runtime-generated"
"A18 Identity","security","user_profiles","Identity & Access","Runtime-generated"
"A18 Identity","security","user_roles","Identity & Access","Runtime-generated"
"A18 Identity","security","user_responsibilities","Identity & Access","Runtime-generated"
"A18 Identity","security","sessions","Identity & Access","Runtime-generated"
"A18 Identity","security","login_audit","Identity & Access","Runtime-generated"
"A18 Identity","security","api_keys","Identity & Access","Runtime-generated"
"A18 Identity","security","email_verification_tokens","Identity & Access","Runtime-generated"
"A18 Identity","security","password_reset_tokens","Identity & Access","Runtime-generated"
"A18 Identity","security","password_history","Identity & Access","Runtime-generated"
"A19 AccessControl","security","roles","Identity & Access","Supporting"
"A19 AccessControl","security","role_permissions","Identity & Access","Supporting"
"A19 AccessControl","security","permissions","Identity & Access","Supporting"
"A19 AccessControl","security","role_delegations","Identity & Access","Supporting"
"A19 AccessControl","security","access_policies","Identity & Access","Supporting"
"A19 AccessControl","security","policy_rules","Identity & Access","Supporting"
"A19 AccessControl","security","policy_conditions","Identity & Access","Supporting"
"A19 AccessControl","security","responsibility_types","Identity & Access","Supporting"
"A19 AccessControl","security","segregation_rules","Identity & Access","Supporting"
"A19 AccessControl","security","security_events","Identity & Access","Supporting"
"A19 AccessControl","security","approval_authorities","Identity & Access","Supporting"
"A19 AccessControl","security","approval_limits","Identity & Access","Supporting"
"A10 E-Signature","security","digital_certificates","Document Handling","Supporting"
"A10 E-Signature","security","certificate_revocations","Document Handling","Supporting"
"A17 Institution","security","institutions","Institution Administration","Supporting"
"A17 Institution","security","institution_types","Institution Administration","Supporting"
"A17 Institution","security","departments","Institution Administration","Supporting"
